,label
0196111696,Tolerant
0264802683,Lethal
0298388850,Lethal
0483065910,Tolerant
0579498687,Tolerant
0660214980,Tolerant
0989380966,Lethal
0990038394,Tolerant
1092461651,Tolerant
1201259255,Tolerant
1382198413,Tolerant
1398517432,Tolerant
1410045978,Tolerant
1539186575,Lethal
1546702171,Tolerant
1689963834,Lethal
1720944992,Tolerant
1845328039,Lethal
1920952849,Tolerant
1930730663,Lethal
2017755523,Lethal
2170943928,Lethal
2192065815,Lethal
2198527724,Lethal
2619703291,Lethal
2646547262,Tolerant
2755564056,Tolerant
2837761527,Lethal
3119348561,Tolerant
3259255795,Lethal
3361480771,Tolerant
3473433948,Lethal
3564073434,Tolerant
3628568055,Lethal
3663063997,Tolerant
3730861537,Tolerant
3797904492,Tolerant
3815049412,Tolerant
4233804644,Lethal
4283368316,Lethal
4350545140,Tolerant
4440996517,Lethal
4598170287,Tolerant
4738256734,Lethal
4785836391,Tolerant
4897188395,Tolerant
5046973959,Tolerant
5120047475,Tolerant
5306757780,Lethal
5377121780,Tolerant
5410821446,Tolerant
5425694845,Lethal
5508778728,Tolerant
5512992903,Lethal
5682387783,Tolerant
5757024317,Tolerant
6094571860,Tolerant
6135758300,Tolerant
6184941125,Lethal
6411159680,Tolerant
6412375873,Tolerant
6432295106,Tolerant
6507494399,Tolerant
7018594952,Lethal
7185863258,Tolerant
7675211656,Lethal
7754034784,Lethal
7826075850,Tolerant
7855370571,Lethal
7890634361,Tolerant
7905180805,Tolerant
8393048645,Tolerant
8624462179,Tolerant
8635289869,Lethal
8708964050,Tolerant
8771600143,Tolerant
8974301983,Lethal
9101151692,Lethal
9101422705,Tolerant
9114725783,Tolerant
9161146243,Lethal
9655956148,Lethal
9760225237,Lethal
9778800865,Lethal
9792966196,Tolerant
9830636603,Lethal
9857170658,Tolerant
9882062212,Tolerant
9884891455,Tolerant
