SampleID,label
GSM1883444,control
GSM1883445,control
GSM1883463,control
GSM1883464,control
GSM1883482,control
GSM1883483,control
GSM1883501,control
GSM1883502,control
GSM1883512,shedder48_64
GSM1883513,shedder48_64
GSM1883520,control
GSM1883521,control
GSM1883539,control
GSM1883540,control
GSM1883550,shedder48_64
GSM1883551,shedder48_64
GSM1883558,control
GSM1883559,control
GSM1883569,shedder48_64
GSM1883570,shedder48_64
GSM1883577,control
GSM1883578,control
GSM1883588,shedder48_64
GSM1883589,shedder48_64
GSM1883596,control
GSM1883597,control
GSM1883607,shedder48_64
GSM1883608,shedder48_64
GSM1883615,control
GSM1883623,shedder48_64
GSM1883624,shedder48_64
GSM1883627,control
GSM1883628,control
GSM1883638,shedder48_64
GSM1883639,shedder48_64
GSM1883646,control
GSM1883647,control
GSM1883665,control
GSM1883666,control
GSM1883676,shedder48_64
GSM1883677,shedder48_64
GSM1883679,control
GSM1883680,control
GSM1883690,shedder48_64
GSM1883691,shedder48_64
GSM1883698,control
GSM1883699,control
GSM1883709,shedder48_64
GSM1883710,shedder48_64
GSM1883716,control
GSM1883717,control
GSM1883727,shedder48_64
GSM1883728,shedder48_64
GSM1883735,control
GSM1883736,control
GSM1883747,control
GSM1883748,control
GSM1883758,shedder48_64
GSM1883759,shedder48_64
GSM1883760,control
GSM1883761,control
GSM1883771,shedder48_64
GSM1883772,shedder48_64
GSM1883778,control
GSM1883779,control
GSM1883789,shedder48_64
GSM1883790,shedder48_64
GSM1883797,control
GSM1883798,control
GSM1883808,shedder48_64
GSM1883809,shedder48_64
GSM1883816,control
GSM1883817,control
GSM1883835,control
GSM1883836,control
GSM1883846,shedder48_64
GSM1883847,shedder48_64
GSM1883848,control
GSM1883849,control
GSM1883864,control
GSM1883865,control
GSM1883874,shedder48_64
GSM1883875,shedder48_64
GSM1883880,control
GSM1883881,control
GSM1883899,control
GSM1883900,control
GSM1883915,control
GSM1883916,control
GSM1883930,control
GSM1883931,control
GSM1883945,control
GSM1883946,control
GSM1883956,shedder48_64
GSM1883960,control
GSM1883961,control
GSM1883971,shedder48_64
GSM1883975,control
GSM1883976,control
GSM1883986,shedder48_64
GSM1883990,control
GSM1883991,control
GSM1884000,shedder48_64
GSM1884004,control
GSM1884005,control
GSM1884015,shedder48_64
GSM1884019,control
GSM1884020,control
GSM1884034,control
GSM1884035,control
GSM1884045,shedder48_64
GSM1884049,control
GSM1884050,control
GSM1884064,control
GSM1884065,control
GSM1884075,shedder48_64
GSM1884079,control
GSM1884080,control
GSM1884090,shedder48_64
GSM1884094,control
GSM1884095,control
GSM1884109,control
GSM1884110,control
GSM1884124,control
GSM1884125,control
GSM1884135,shedder48_64
GSM1884139,control
GSM1884140,control
GSM1884152,control
GSM1884153,control
GSM1884162,shedder48_64
GSM1884166,control
GSM1884167,control
GSM1884181,control
GSM1884182,control
GSM1884195,control
GSM1884196,control
GSM1884206,shedder48_64
