,label
0322783559,susceptible
0970020125,tolerant
2231413891,susceptible
2248673728,susceptible
2384157138,tolerant
2411376959,tolerant
2926666091,tolerant
3154054062,tolerant
3179094467,tolerant
3531294511,tolerant
3613555456,tolerant
3650323393,susceptible
3848392588,tolerant
4013020770,susceptible
4056695647,tolerant
4078330781,tolerant
4171546873,tolerant
4344936556,susceptible
4502478329,susceptible
4960509275,tolerant
6928427570,tolerant
7583333031,susceptible
7874564405,tolerant
8709860903,susceptible
8785514740,tolerant
8941304403,tolerant
9082295286,susceptible
9593339955,tolerant
9746323045,tolerant
