,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,ebola_Spleen,1,3,0,0.9887350295465366,1449
0,ebola_Spleen,1,3,1,0.5032064476511265,1091
0,ebola_Spleen,1,3,2,0.6650932711645142,1502
0,salmonella_Liver,1,1,0,0.5371548033191574,949
0,salmonella_Liver,1,1,1,0.3409035319890943,2619
0,salmonella_Liver,1,1,2,0.36493176406518885,1146
0,salmonella_Liver,1,1,3,0.6188276872235828,1458
0,salmonella_Liver,1,1,4,0.7537064552200802,2278
0,salmonella_Liver,1,1,5,0.5972431291108781,797
0,salmonella_Liver,1,1,6,0.38598504163401476,809
0,salmonella_Liver,1,1,7,0.5987509615133505,1095
0,salmonella_Liver,1,1,8,0.5770416335906793,2555
0,salmonella_Liver,1,1,9,0.5759382726542895,2746
0,salmonella_Liver,1,1,10,0.35149271253446823,967
0,salmonella_Liver,1,1,11,0.5119789302143561,427
0,salmonella_Liver,1,1,12,0.4099341780570365,2177
0,salmonella_Liver,1,1,13,0.3465847581988954,2409
0,salmonella_Liver,1,1,14,0.5458952188094924,2718
0,salmonella_Liver,1,1,15,0.5270794560060871,1182
0,gse73072_hrv_48_64,1,3,0,0.35985803462090965,4971
0,gse73072_hrv_48_64,1,3,1,0.5144640368405801,253
0,gse73072_hrv_48_64,1,3,2,0.4296642347664766,2208
0,gse73072_hrv_48_64,1,3,3,0.5637125981492223,2288
0,gse73072_hrv_48_64,1,3,4,0.3801138295821938,1756
0,gse73072_hrv_48_64,1,3,5,0.38077522082874865,1640
0,gse73072_hrv_48_64,1,3,6,0.4047193361896203,1033
0,gse73072_hrv_48_64,1,3,7,0.5010547141676421,603
0,gse73072_hrv_48_64,1,3,8,0.4905819176769995,1703
0,gse73072_hrv_48_64,1,3,9,0.43924094867620306,1412
0,gse73072_hrv_48_64,1,3,10,0.4693223757740911,2384
0,gse73072_hrv_48_64,1,3,11,0.3084410082860803,279
0,gse73072_hrv_48_64,1,3,12,0.4432406350229972,1747
0,ebola_Spleen_Tolerant,1,1,0,0.9752002848142898,1852
0,ebola_Spleen_Tolerant,1,1,1,0.47439112767568203,2166
0,ebola_Spleen,1,1,0,0.9761846582517343,1924
0,ebola_Spleen,1,1,1,0.6385773259333807,1821
0,ebola_Spleen,1,1,2,0.8223669621219827,294
0,ebola_Liver_Tolerant,1,2,0,0.9328277829843296,785
0,ebola_Liver_Tolerant,1,2,1,0.7262880222888535,3185
0,gse73072_hrv_48_64_control,1,0,0,0.40907074008547034,713
0,gse73072_hrv_48_64_control,1,0,1,0.6658845694129057,102
0,gse73072_hrv_48_64_control,1,0,2,0.3976495790514274,1807
