,Mean Relative Gain,Std Relative Gain,Center Dimension,Data Dimension,Prototype,Data Set
0,0.02759108833528432,0.03808268208606703,1,1,eigengene,gse73072_hrv_48_64
0,0.04952750775365461,0.025314332438916863,2,1,eigengene,gse73072_hrv_48_64
0,0.08289953220938995,0.0,4,1,eigengene,gse73072_hrv_48_64
0,0.013995344651543506,0.028332324313996238,8,1,eigengene,gse73072_hrv_48_64
0,0.04911653455895948,0.013642923695816817,1,1,flag_mean,gse73072_hrv_48_64
0,0.07824929512391138,0.055027857554820474,1,2,flag_mean,gse73072_hrv_48_64
0,0.0381528062372305,0.02614871280621789,2,1,flag_mean,gse73072_hrv_48_64
0,0.001281861600448675,0.024441922485875144,2,2,flag_mean,gse73072_hrv_48_64
0,0.014483937305802358,0.016113290362007218,4,1,flag_mean,gse73072_hrv_48_64
0,0.007225415974006588,0.02170201765910605,4,2,flag_mean,gse73072_hrv_48_64
0,0.008498609308939375,0.025148883296784885,8,1,flag_mean,gse73072_hrv_48_64
0,-5.929017821793004e-06,3.4766729095234994e-06,8,2,flag_mean,gse73072_hrv_48_64
0,0.09557326747196986,0.06864878149534089,1,1,flag_median,gse73072_hrv_48_64
0,0.07985797659194915,0.09155023010912118,1,2,flag_median,gse73072_hrv_48_64
0,0.07315775547726266,0.06333705814858215,2,1,flag_median,gse73072_hrv_48_64
0,0.005393182042751632,0.022016631178340244,2,2,flag_median,gse73072_hrv_48_64
0,0.039473964056151535,0.022817750822571578,4,1,flag_median,gse73072_hrv_48_64
0,-0.0030159183820059,0.02555565538172071,4,2,flag_median,gse73072_hrv_48_64
0,0.015620065416763806,0.011053361255077459,8,1,flag_median,gse73072_hrv_48_64
0,-0.001498515514834775,0.012113322725629002,8,2,flag_median,gse73072_hrv_48_64
0,0.08980016381058487,0.07280517153096844,1,1,module_expression,gse73072_hrv_48_64
0,0.01563095543570727,0.03317531421587471,1,1,eigengene,gse73072_hrv_48_64_False
0,0.001145682708069029,0.019639937255697935,2,1,eigengene,gse73072_hrv_48_64_False
