,Data Set,Module Refinement Method,Mean Relative Gain
0,gse73072_hrv_48_64,eigengene_1,0.29431486684339425
0,gse73072_hrv_48_64,eigengene_2,0.25642034671686054
0,gse73072_hrv_48_64,eigengene_4,0.4002447755069217
0,gse73072_hrv_48_64,eigengene_8,0.6627386309254438
0,gse73072_hrv_48_64,flag_mean_1_1,0.9340520936797088
0,gse73072_hrv_48_64,flag_mean_1_2,0.8137458547925596
0,gse73072_hrv_48_64,flag_mean_2_1,0.6865362898339681
0,gse73072_hrv_48_64,flag_mean_2_2,-0.15505477102788784
0,gse73072_hrv_48_64,flag_mean_4_1,0.7217630757941176
0,gse73072_hrv_48_64,flag_mean_4_2,-0.10184337636800186
0,gse73072_hrv_48_64,flag_mean_8_1,0.754869875233339
0,gse73072_hrv_48_64,flag_mean_8_2,-3.832322859054216e-09
0,gse73072_hrv_48_64,flag_median_1_1,0.9328909414955838
0,gse73072_hrv_48_64,flag_median_1_2,0.7355416596716008
0,gse73072_hrv_48_64,flag_median_2_1,0.63984409940388
0,gse73072_hrv_48_64,flag_median_2_2,-0.14701688832951518
0,gse73072_hrv_48_64,flag_median_4_1,0.6366643934390596
0,gse73072_hrv_48_64,flag_median_4_2,-0.1161305440308946
0,gse73072_hrv_48_64,flag_median_8_1,0.7435921812114836
0,gse73072_hrv_48_64,flag_median_8_2,-0.007950800508747413
0,gse73072_hrv_48_64,module_expression,0.9604447918878949
0,gse73072_hrv_48_64_control,eigengene_1,0.20097320201168972
0,gse73072_hrv_48_64_control,eigengene_2,0.2608188686415019
0,gse73072_hrv_48_64_control,eigengene_4,0.3496256291643529
0,gse73072_hrv_48_64_control,eigengene_8,0.3669167061278279
0,gse73072_hrv_48_64_control,flag_mean_1_1,0.6812373318349015
0,gse73072_hrv_48_64_control,flag_mean_1_2,0.5824152705560784
0,gse73072_hrv_48_64_control,flag_mean_2_1,0.5327495114180253
0,gse73072_hrv_48_64_control,flag_mean_2_2,-0.0896612316990258
0,gse73072_hrv_48_64_control,flag_mean_4_1,0.5654269487734103
0,gse73072_hrv_48_64_control,flag_mean_4_2,-0.07371121840062544
0,gse73072_hrv_48_64_control,flag_mean_8_1,0.5555006836118768
0,gse73072_hrv_48_64_control,flag_mean_8_2,-3.371798884543864e-09
0,gse73072_hrv_48_64_control,flag_median_1_1,0.548498153452052
0,gse73072_hrv_48_64_control,flag_median_1_2,0.6280132341575885
0,gse73072_hrv_48_64_control,flag_median_2_1,0.4833034119160112
0,gse73072_hrv_48_64_control,flag_median_2_2,-0.09533154840931579
0,gse73072_hrv_48_64_control,flag_median_4_1,0.5269058991243459
0,gse73072_hrv_48_64_control,flag_median_4_2,-0.0641123483018391
0,gse73072_hrv_48_64_control,flag_median_8_1,0.6119958053872853
0,gse73072_hrv_48_64_control,flag_median_8_2,0.0008263068542143426
0,gse73072_hrv_48_64_control,module_expression,0.6519884143232101
0,gse73072_hrv_48_64_shedder48_64,eigengene_1,0.5329849699982084
0,gse73072_hrv_48_64_shedder48_64,eigengene_2,0.40754702234980944
0,gse73072_hrv_48_64_shedder48_64,eigengene_4,0.4222725660865948
0,gse73072_hrv_48_64_shedder48_64,eigengene_8,0.47926896015320225
0,gse73072_hrv_48_64_shedder48_64,flag_mean_1_1,1.2706123026991119
0,gse73072_hrv_48_64_shedder48_64,flag_mean_1_2,1.2097357166996512
0,gse73072_hrv_48_64_shedder48_64,flag_mean_2_1,1.0016487431045475
0,gse73072_hrv_48_64_shedder48_64,flag_mean_2_2,-0.06394207057101002
0,gse73072_hrv_48_64_shedder48_64,flag_mean_4_1,0.6348491205722416
0,gse73072_hrv_48_64_shedder48_64,flag_mean_4_2,-0.04964133244076818
0,gse73072_hrv_48_64_shedder48_64,flag_mean_8_1,0.6186081429387843
0,gse73072_hrv_48_64_shedder48_64,flag_mean_8_2,-5.049467333151369e-09
0,gse73072_hrv_48_64_shedder48_64,flag_median_1_1,1.2700451117575973
0,gse73072_hrv_48_64_shedder48_64,flag_median_1_2,1.1895308755634235
0,gse73072_hrv_48_64_shedder48_64,flag_median_2_1,0.817906251743358
0,gse73072_hrv_48_64_shedder48_64,flag_median_2_2,-0.0644638619540967
0,gse73072_hrv_48_64_shedder48_64,flag_median_4_1,0.5299354943626329
0,gse73072_hrv_48_64_shedder48_64,flag_median_4_2,-0.05472369826449208
0,gse73072_hrv_48_64_shedder48_64,flag_median_8_1,0.504396220876447
0,gse73072_hrv_48_64_shedder48_64,flag_median_8_2,0.001096371556903275
0,gse73072_hrv_48_64_shedder48_64,module_expression,1.3969138901976133
0,salmonella_Liver,eigengene_1,1.4138155659378504
0,salmonella_Liver,eigengene_2,1.5335889991518379
