,Data Set,Module Refinement Method,Mean Relative Gain
0,gse73072_hrv_48_64,eigengene_1,0.027591088335284297
0,gse73072_hrv_48_64,eigengene_2,0.04952750775365455
0,gse73072_hrv_48_64,eigengene_4,0.0828995322093899
0,gse73072_hrv_48_64,eigengene_8,0.0139953446515435
0,gse73072_hrv_48_64,flag_mean_1_1,0.049116534558959396
0,gse73072_hrv_48_64,flag_mean_1_2,0.07824929512391135
0,gse73072_hrv_48_64,flag_mean_2_1,0.03815280623723045
0,gse73072_hrv_48_64,flag_mean_2_2,0.0012818616004487
0,gse73072_hrv_48_64,flag_mean_4_1,0.014483937305802351
0,gse73072_hrv_48_64,flag_mean_4_2,0.007225415974006581
0,gse73072_hrv_48_64,flag_mean_8_1,0.00849860930893936
0,gse73072_hrv_48_64,flag_mean_8_2,-5.929017821793004e-06
0,gse73072_hrv_48_64,flag_median_1_1,0.09557326747196981
0,gse73072_hrv_48_64,flag_median_1_2,0.07985797659194914
0,gse73072_hrv_48_64,flag_median_2_1,0.07315775547726265
0,gse73072_hrv_48_64,flag_median_2_2,0.005393182042751618
0,gse73072_hrv_48_64,flag_median_4_1,0.03947396405615147
0,gse73072_hrv_48_64,flag_median_4_2,-0.0030159183820059002
0,gse73072_hrv_48_64,flag_median_8_1,0.015620065416763773
0,gse73072_hrv_48_64,flag_median_8_2,-0.0014985155148347796
0,gse73072_hrv_48_64,module_expression,0.08980016381058485
0,gse73072_hrv_48_64_False,eigengene_1,0.015630955435707243
0,gse73072_hrv_48_64_False,eigengene_2,0.0011456827080690006
0,gse73072_hrv_48_64_False,eigengene_4,-0.013596577378371801
0,gse73072_hrv_48_64_False,eigengene_8,0.019898680390861376
0,gse73072_hrv_48_64_False,flag_mean_1_1,0.0360591305361047
0,gse73072_hrv_48_64_False,flag_mean_1_2,0.029323493332452436
0,gse73072_hrv_48_64_False,flag_mean_2_1,0.0075443363124614
0,gse73072_hrv_48_64_False,flag_mean_2_2,-0.0028692395636306205
0,gse73072_hrv_48_64_False,flag_mean_4_1,-0.00462963792854926
0,gse73072_hrv_48_64_False,flag_mean_4_2,0.00016715633203700023
0,gse73072_hrv_48_64_False,flag_mean_8_1,0.0016302859364329754
0,gse73072_hrv_48_64_False,flag_mean_8_2,-4.928053411545897e-06
0,gse73072_hrv_48_64_False,flag_median_1_1,0.03761702732233347
0,gse73072_hrv_48_64_False,flag_median_1_2,0.0449449681343039
0,gse73072_hrv_48_64_False,flag_median_2_1,0.0418790891463687
0,gse73072_hrv_48_64_False,flag_median_2_2,0.00362997263082772
0,gse73072_hrv_48_64_False,flag_median_4_1,0.0016389996946557343
0,gse73072_hrv_48_64_False,flag_median_4_2,0.0038831765753825796
0,gse73072_hrv_48_64_False,flag_median_8_1,-0.004528130906468175
0,gse73072_hrv_48_64_False,flag_median_8_2,0.01019001370343044
0,gse73072_hrv_48_64_False,module_expression,0.040610810730290436
0,gse73072_hrv_48_64_True,eigengene_1,0.02015465463829966
0,gse73072_hrv_48_64_True,eigengene_2,0.02462703717447622
0,gse73072_hrv_48_64_True,eigengene_4,-0.00502201471003935
0,gse73072_hrv_48_64_True,eigengene_8,-0.0032469925383895246
0,gse73072_hrv_48_64_True,flag_mean_1_1,0.06565976360872237
0,gse73072_hrv_48_64_True,flag_mean_1_2,0.05415114215278845
0,gse73072_hrv_48_64_True,flag_mean_2_1,0.02659472482621955
0,gse73072_hrv_48_64_True,flag_mean_2_2,-0.00673796056632186
0,gse73072_hrv_48_64_True,flag_mean_4_1,0.028824012433554057
0,gse73072_hrv_48_64_True,flag_mean_4_2,0.0027389169982338993
0,gse73072_hrv_48_64_True,flag_mean_8_1,-0.006434502328370133
0,gse73072_hrv_48_64_True,flag_mean_8_2,-5.457959494115095e-06
0,gse73072_hrv_48_64_True,flag_median_1_1,0.1435540208046652
0,gse73072_hrv_48_64_True,flag_median_1_2,0.1023173482681363
0,gse73072_hrv_48_64_True,flag_median_2_1,0.06580407072602155
0,gse73072_hrv_48_64_True,flag_median_2_2,-0.012507568094211757
0,gse73072_hrv_48_64_True,flag_median_4_1,0.037453850483414
0,gse73072_hrv_48_64_True,flag_median_4_2,-0.0196148265794234
0,gse73072_hrv_48_64_True,flag_median_8_1,0.012642318266835876
0,gse73072_hrv_48_64_True,flag_median_8_2,-0.00218190119438652
0,gse73072_hrv_48_64_True,module_expression,0.140881273510631
0,salmonella_Liver,eigengene_1,-0.10773326544788189
0,salmonella_Liver,eigengene_2,-0.061284512918988156
0,salmonella_Liver,eigengene_4,-0.09144024135911508
0,salmonella_Liver,eigengene_8,-0.10764565205155399
0,salmonella_Liver,flag_mean_1_1,-0.10766446457577157
0,salmonella_Liver,flag_mean_1_2,-0.10233936246236586
0,salmonella_Liver,flag_mean_2_1,-0.18390335050919315
0,salmonella_Liver,flag_mean_2_2,-0.022736957417979424
0,salmonella_Liver,flag_mean_4_1,-0.11086581572029104
0,salmonella_Liver,flag_mean_4_2,-0.0129627799014936
0,salmonella_Liver,flag_mean_8_1,-0.10197010055598302
0,salmonella_Liver,flag_mean_8_2,-7.384675741928248e-06
0,salmonella_Liver,flag_median_1_1,-0.11989312178105833
0,salmonella_Liver,flag_median_1_2,-0.09697176301250336
0,salmonella_Liver,flag_median_2_1,-0.18110194060875048
0,salmonella_Liver,flag_median_2_2,-0.025705581720752962
0,salmonella_Liver,flag_median_4_1,-0.15509707358072042
0,salmonella_Liver,flag_median_4_2,-0.03879038367077161
0,salmonella_Liver,flag_median_8_1,-0.14392463654192247
0,salmonella_Liver,flag_median_8_2,-0.018977448219277836
0,salmonella_Liver,module_expression,-0.08978944548090577
0,salmonella_Liver_susceptible,eigengene_1,0.7489456137821696
0,salmonella_Liver_susceptible,eigengene_2,0.8323953600320992
0,salmonella_Liver_susceptible,eigengene_4,0.40928320695594955
0,salmonella_Liver_susceptible,eigengene_8,-0.9680002047986892
0,salmonella_Liver_susceptible,flag_mean_1_1,0.7179460703257118
0,salmonella_Liver_susceptible,flag_mean_1_2,0.7523706755107653
0,salmonella_Liver_susceptible,flag_mean_2_1,
0,salmonella_Liver_susceptible,flag_mean_2_2,0.7770011663246379
0,salmonella_Liver_susceptible,flag_mean_4_1,0.6520696971034102
0,salmonella_Liver_susceptible,flag_mean_4_2,0.7890268684013696
0,salmonella_Liver_susceptible,flag_mean_8_1,-0.9240510174632028
0,salmonella_Liver_susceptible,flag_mean_8_2,-7.753290991585615e-06
0,salmonella_Liver_susceptible,flag_median_1_1,0.6931558398378473
