,Data Set,Module Refinement Method,Mean Relative Gain
0,gse73072_hrv_48_64,eigengene_1,-0.04267694742978216
0,gse73072_hrv_48_64,eigengene_2,-0.03546330410586304
0,gse73072_hrv_48_64,eigengene_4,-0.042848415960271447
0,gse73072_hrv_48_64,eigengene_8,-0.08267219073656355
0,gse73072_hrv_48_64,flag_mean_1_1,-0.04764896881773256
0,gse73072_hrv_48_64,flag_mean_1_2,-0.04732293219073033
0,gse73072_hrv_48_64,flag_mean_2_1,-0.055912201729334164
0,gse73072_hrv_48_64,flag_mean_2_2,0.008044688397454713
0,gse73072_hrv_48_64,flag_mean_4_1,-0.05149974628670164
0,gse73072_hrv_48_64,flag_mean_4_2,0.0001884116095684174
0,gse73072_hrv_48_64,flag_mean_8_1,-0.07656207785916039
0,gse73072_hrv_48_64,flag_mean_8_2,-4.02551405305207e-06
0,gse73072_hrv_48_64,flag_median_1_1,-0.05948891943416179
0,gse73072_hrv_48_64,flag_median_1_2,-0.04297439084635465
0,gse73072_hrv_48_64,flag_median_2_1,-0.02012327938862805
0,gse73072_hrv_48_64,flag_median_2_2,0.00972604399812269
0,gse73072_hrv_48_64,flag_median_4_1,-0.036001605456017695
0,gse73072_hrv_48_64,flag_median_4_2,0.006092339221989329
0,gse73072_hrv_48_64,flag_median_8_1,-0.059237703364718286
0,gse73072_hrv_48_64,flag_median_8_2,-0.003583360816245684
0,gse73072_hrv_48_64,module_expression,-0.0389223572829134
0,gse73072_hrv_48_64_control,eigengene_1,-0.030619130594002942
0,gse73072_hrv_48_64_control,eigengene_2,-0.030163385585121744
0,gse73072_hrv_48_64_control,eigengene_4,-0.030922430166455406
0,gse73072_hrv_48_64_control,eigengene_8,-0.04869720735249543
0,gse73072_hrv_48_64_control,flag_mean_1_1,-0.04088256465620643
0,gse73072_hrv_48_64_control,flag_mean_1_2,-0.04119741192508647
0,gse73072_hrv_48_64_control,flag_mean_2_1,-0.02794071766867351
0,gse73072_hrv_48_64_control,flag_mean_2_2,0.0001507893670662064
0,gse73072_hrv_48_64_control,flag_mean_4_1,-0.032774006678365344
0,gse73072_hrv_48_64_control,flag_mean_4_2,0.003986361748304579
0,gse73072_hrv_48_64_control,flag_mean_8_1,-0.04783527356094515
0,gse73072_hrv_48_64_control,flag_mean_8_2,-5.57782883143787e-06
