,module 0,module 9,module 19,module 24,module 29,module 31
0,201681_s_at,202870_s_at,1773_at,117_at,200628_s_at,200986_at
1,202458_at,203065_s_at,1861_at,200051_at,200629_at,201641_at
2,203562_at,204836_at,200646_s_at,200078_s_at,200701_at,202086_at
3,203989_x_at,205692_s_at,200751_s_at,200622_x_at,200733_s_at,202145_at
4,204066_s_at,209138_x_at,200796_s_at,200696_s_at,200878_at,202269_x_at
5,204103_at,209773_s_at,200900_s_at,200706_s_at,200887_s_at,202270_at
6,204497_at,210052_s_at,201043_s_at,200744_s_at,200939_s_at,202411_at
7,204731_at,211430_s_at,201044_x_at,200764_s_at,200984_s_at,202430_s_at
8,204811_s_at,211633_x_at,201156_s_at,200800_s_at,200985_s_at,202446_s_at
9,205114_s_at,211634_x_at,201167_x_at,200803_s_at,201015_s_at,202672_s_at
10,205291_at,211635_x_at,201169_s_at,200919_at,201060_x_at,202687_s_at
11,205495_s_at,211637_x_at,201211_s_at,201089_at,201062_at,202688_at
12,205691_at,211639_x_at,201233_at,201192_s_at,201324_at,202869_at
13,205839_s_at,211640_x_at,201235_s_at,201244_s_at,201537_s_at,203153_at
14,205883_at,211641_x_at,201267_s_at,201393_s_at,201601_x_at,203595_s_at
15,205889_s_at,211642_at,201332_s_at,201400_at,201646_at,203596_s_at
16,206486_at,211643_x_at,201337_s_at,201422_at,201647_s_at,203771_s_at
17,206518_s_at,211644_x_at,201364_s_at,201473_at,201649_at,203805_s_at
18,206974_at,211645_x_at,201367_s_at,201484_at,201662_s_at,204211_x_at
19,206991_s_at,211649_x_at,201401_s_at,201531_at,201760_s_at,204415_at
20,206999_at,211650_x_at,201469_s_at,201642_at,201786_s_at,204439_at
21,207313_x_at,211655_at,201490_s_at,201651_s_at,201798_s_at,204533_at
22,207314_x_at,211798_x_at,201538_s_at,201670_s_at,201887_at,204747_at
23,207351_s_at,211835_at,201539_s_at,201743_at,201888_s_at,204770_at
24,207795_s_at,211868_x_at,201668_x_at,201750_s_at,201924_at,204972_at
25,207796_x_at,211881_x_at,201679_at,201874_at,201935_s_at,205003_at
26,208122_x_at,211908_x_at,201747_s_at,201875_s_at,201936_s_at,205170_at
27,208179_x_at,212592_at,201781_s_at,201926_s_at,201995_at,205483_s_at
28,208198_x_at,213502_x_at,201835_s_at,201957_at,201999_s_at,205552_s_at
29,208203_x_at,213674_x_at,201971_s_at,202014_at,202068_s_at,205569_at
30,208426_x_at,214209_s_at,202101_s_at,202099_s_at,202087_s_at,205660_at
31,209813_x_at,214218_s_at,202198_s_at,202121_s_at,202100_at,206025_s_at
32,209815_at,214669_x_at,202226_s_at,202122_s_at,202177_at,206026_s_at
33,209883_at,214677_x_at,202247_s_at,202140_s_at,202193_at,206503_x_at
34,210164_at,214768_x_at,202290_at,202150_s_at,202307_s_at,206513_at
35,210321_at,214777_at,202316_x_at,202199_s_at,202348_s_at,206553_at
36,210606_x_at,214836_x_at,202354_s_at,202224_at,202375_at,206576_s_at
37,210865_at,214916_x_at,202407_s_at,202286_s_at,202464_s_at,206637_at
38,210890_x_at,214973_x_at,202448_s_at,202391_at,202530_at,207500_at
39,211144_x_at,215035_at,202736_s_at,202392_s_at,202581_at,208087_s_at
40,211242_x_at,215118_s_at,202779_s_at,202400_s_at,202625_at,208436_s_at
41,211245_x_at,215121_x_at,202855_s_at,202459_s_at,202748_at,209369_at
42,211333_s_at,215176_x_at,202873_at,202497_x_at,202837_at,209417_s_at
43,211343_s_at,215214_at,202879_s_at,202498_s_at,202863_at,209498_at
44,211389_x_at,215379_x_at,202895_s_at,202499_s_at,202864_s_at,209546_s_at
45,211397_x_at,215777_at,202914_s_at,202531_at,202906_s_at,209593_s_at
46,211410_x_at,215946_x_at,203101_s_at,202566_s_at,202907_s_at,209640_at
47,211469_s_at,215949_x_at,203111_s_at,202626_s_at,202912_at,209999_x_at
48,211532_x_at,216207_x_at,203331_s_at,202637_s_at,202953_at,210001_s_at
49,211597_s_at,216365_x_at,203676_at,202659_at,203044_at,210029_at
50,211685_s_at,216401_x_at,203751_x_at,202665_s_at,203052_at,210190_at
51,211687_x_at,216412_x_at,203783_x_at,202708_s_at,203127_s_at,210362_x_at
52,211688_x_at,216430_x_at,203809_s_at,202787_s_at,203144_s_at,210657_s_at
53,212070_at,216491_x_at,203890_s_at,202793_at,203148_s_at,210705_s_at
54,212599_at,216510_x_at,204006_s_at,202807_s_at,203234_at,210732_s_at
55,212843_at,216517_at,204152_s_at,202833_s_at,203236_s_at,210770_s_at
56,213395_at,216541_x_at,204280_at,202845_s_at,203258_at,210797_s_at
57,213830_at,216542_x_at,204374_s_at,202875_s_at,203275_at,210985_s_at
58,213849_s_at,216557_x_at,204445_s_at,202894_at,203276_at,211012_s_at
59,214071_at,216560_x_at,204543_at,202897_at,203454_s_at,211367_s_at
60,214617_at,216573_at,204560_at,202913_at,203455_s_at,211864_s_at
61,215386_at,216576_x_at,204625_s_at,202990_at,203471_s_at,211883_x_at
62,215806_x_at,216829_at,204815_s_at,203004_s_at,203504_s_at,211889_x_at
63,216552_x_at,216853_x_at,204858_s_at,203005_at,203505_at,212659_s_at
64,216676_x_at,216984_x_at,204896_s_at,203029_s_at,203574_at,212845_at
65,216748_at,217022_s_at,204907_s_at,203041_s_at,203610_s_at,213294_at
66,216836_s_at,217148_x_at,205127_at,203042_at,203645_s_at,213361_at
67,216907_x_at,217157_x_at,205179_s_at,203110_at,203765_at,213797_at
68,216920_s_at,217179_x_at,205312_at,203140_at,203773_x_at,214038_at
69,218272_at,217227_x_at,205321_at,203143_s_at,203806_s_at,214059_at
70,218638_s_at,217235_x_at,205346_at,203149_at,203819_s_at,214329_x_at
71,219304_s_at,217236_x_at,205396_at,203167_at,203882_at,214453_s_at
72,219461_at,217239_x_at,205409_at,203194_s_at,203897_at,214511_x_at
73,219521_at,217258_x_at,205410_s_at,203242_s_at,203922_s_at,215495_s_at
74,220272_at,217281_x_at,205426_s_at,203334_at,203927_at,215617_at
75,220613_s_at,217320_at,205461_at,203379_at,203962_s_at,215719_x_at
76,220646_s_at,217360_x_at,205462_s_at,203421_at,203964_at,215838_at
77,220684_at,217378_x_at,205468_s_at,203434_s_at,203971_at,215966_x_at
78,221272_s_at,217384_x_at,205746_s_at,203435_s_at,204043_at,215977_x_at
79,221874_at,217480_x_at,205920_at,203460_s_at,204068_at,216020_at
80,37145_at,218051_s_at,205921_s_at,203472_s_at,204204_at,216243_s_at
81,38918_at,221122_at,206184_at,203561_at,204205_at,216252_x_at
82,,221253_s_at,206220_s_at,203644_s_at,204224_s_at,216598_s_at
83,,221286_s_at,206221_at,203691_at,204232_at,216950_s_at
84,,221297_at,206222_at,203749_s_at,204249_s_at,217502_at
85,,221651_x_at,206429_at,203759_at,204279_at,217933_s_at
86,,221671_x_at,206470_at,203814_s_at,204385_at,218085_at
87,,221728_x_at,206544_x_at,203823_at,204423_at,218400_at
88,,,206665_s_at,203834_s_at,204502_at,218543_s_at
89,,,206748_s_at,203836_s_at,204526_s_at,218943_s_at
90,,,206877_at,203838_s_at,204601_at,218986_s_at
91,,,206911_at,203853_s_at,204668_at,219062_s_at
92,,,206920_s_at,203907_s_at,204698_at,219209_at
93,,,207001_x_at,203936_s_at,204745_x_at,219211_at
94,,,207085_x_at,203952_at,204769_s_at,219352_at
95,,,207319_s_at,203973_s_at,204804_at,219364_at
96,,,207334_s_at,204007_at,204861_s_at,219519_s_at
97,,,207419_s_at,204095_s_at,204929_s_at,219607_s_at
98,,,207439_s_at,204096_s_at,204994_at,219684_at
99,,,207521_s_at,204122_at,204998_s_at,219691_at
100,,,207535_s_at,204166_at,205067_at,219716_at
101,,,207629_s_at,204174_at,205098_at,219758_at
102,,,207674_at,204191_at,205099_s_at,219863_at
103,,,207740_s_at,204210_s_at,205110_s_at,219885_at
104,,,207782_s_at,204217_s_at,205126_at,220104_at
105,,,207793_s_at,204253_s_at,205141_at,221680_s_at
106,,,207824_s_at,204306_s_at,205148_s_at,222154_s_at
107,,,207872_s_at,204307_at,205241_at,44673_at
108,,,207907_at,204308_s_at,205467_at,AFFX-HUMISGF3A/M97935_5_at
109,,,208151_x_at,204361_s_at,205500_at,AFFX-HUMISGF3A/M97935_MA_at
110,,,208223_s_at,204395_s_at,205685_at,AFFX-HUMISGF3A/M97935_MB_at
111,,,208255_s_at,204436_at,205687_at,
112,,,208372_s_at,204542_at,205698_s_at,
113,,,208403_x_at,204669_s_at,205699_at,
114,,,208452_x_at,204800_s_at,205781_at,
115,,,208459_s_at,204801_s_at,205819_at,
116,,,208466_at,204876_at,205875_s_at,
117,,,208488_s_at,204888_s_at,205896_at,
118,,,208501_at,204924_at,206011_at,
119,,,208601_s_at,204959_at,206028_s_at,
120,,,208602_x_at,204961_s_at,206090_s_at,
121,,,208677_s_at,205026_at,206129_s_at,
122,,,208698_s_at,205040_at,206130_s_at,
123,,,208719_s_at,205041_s_at,206214_at,
124,,,208748_s_at,205068_s_at,206247_at,
125,,,208750_s_at,205118_at,206332_s_at,
126,,,208793_x_at,205147_x_at,206359_at,
127,,,208917_x_at,205205_at,206440_at,
128,,,208992_s_at,205220_at,206461_x_at,
129,,,209038_s_at,205400_at,206618_at,
130,,,209041_s_at,205403_at,206632_s_at,
131,,,209113_s_at,205424_at,206662_at,
132,,,209116_x_at,205566_at,206697_s_at,
133,,,209131_s_at,205568_at,206710_s_at,
134,,,209149_s_at,205585_at,206765_at,
135,,,209151_x_at,205620_at,206995_x_at,
136,,,209162_s_at,205639_at,207002_s_at,
