,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
0,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,0,0.95,1449
1,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,1,0.95,1091
2,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,2,0.8875,1502
3,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,0,1.0,949
4,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,1,0.5,2619
5,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,2,0.75,1146
6,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,3,0.5,1458
7,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,4,0.625,2278
8,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,5,1.0,797
9,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,6,1.0,809
10,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,7,0.5,1095
11,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,8,0.875,2555
12,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,9,0.875,2746
13,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,10,0.75,967
14,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,11,0.625,427
15,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,12,1.0,2177
16,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,13,1.0,2409
17,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,14,0.875,2718
18,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,15,1.0,1182
19,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,0,0.9166666666666666,4971
20,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,1,0.8888888888888888,253
21,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,2,1.0,2208
22,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,3,0.9722222222222222,2288
23,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,4,1.0,1756
24,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,5,1.0,1640
25,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,6,0.9444444444444444,1033
26,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,7,1.0,603
27,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,8,1.0,1703
28,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,9,1.0,1412
29,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,10,0.9722222222222222,2384
30,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,11,0.8611111111111112,279
31,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,12,0.9722222222222222,1747
32,ebola_Spleen_Tolerant,WGCNA_LBG,eigengene,1,1,1,0,1.0,1852
33,ebola_Spleen_Tolerant,WGCNA_LBG,eigengene,1,1,1,1,1.0,2166
34,ebola_Spleen,WGCNA_LBG,eigengene,1,1,1,0,0.9090909090909092,1924
35,ebola_Spleen,WGCNA_LBG,eigengene,1,1,1,1,0.9545454545454546,1821
36,ebola_Spleen,WGCNA_LBG,eigengene,1,1,1,2,0.9545454545454546,294
37,ebola_Liver_Tolerant,WGCNA_LBG,eigengene,1,1,2,0,0.9285714285714286,785
38,ebola_Liver_Tolerant,WGCNA_LBG,eigengene,1,1,2,1,0.8785714285714286,3185
39,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,0,0.9736842105263157,713
40,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,1,0.9736842105263157,102
41,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,2,0.8918128654970761,1807
42,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,3,1.0,1107
43,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,4,0.9181286549707601,1518
44,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,5,0.9444444444444444,814
45,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,6,0.8918128654970761,2413
46,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,7,0.9444444444444444,1585
47,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,8,1.0,1721
48,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,9,1.0,895
49,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,10,0.9444444444444444,870
