,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,GO Significance
0,salmonella_Liver,WGCNA,,,,all,0,1180.0736170554105
0,salmonella_Liver,WGCNA,,,,all,1,212.36141907753017
0,salmonella_Liver,WGCNA,,,,all,2,0.0
0,salmonella_Liver,WGCNA,,,,all,3,4695.395968868055
0,salmonella_Liver,WGCNA,,,,all,4,819.5048151083606
0,salmonella_Liver,WGCNA,,,,all,5,871.7930171580797
0,salmonella_Liver,WGCNA,,,,all,6,1.583226304515158
0,salmonella_Liver,WGCNA,,,,all,7,1649.8338513811116
0,salmonella_Liver,WGCNA,,,,all,8,5179.607031355026
0,salmonella_Liver,WGCNA,,,,all,9,141.22306378103943
0,salmonella_Liver,WGCNA,,,,all,10,1975.7295472017881
0,salmonella_Liver,WGCNA,,,,all,11,40.35338509202138
0,salmonella_Liver,WGCNA,,,,all,12,2159.203796340148
0,salmonella_Liver,WGCNA,,,,all,13,699.8882297151017
0,salmonella_Liver,WGCNA,,,,all,14,201.39924410622777
0,salmonella_Liver,WGCNA,,,,all,15,0.0
0,salmonella_Liver,WGCNA,,,,all,16,694.8840708547714
0,salmonella_Liver,WGCNA,,,,all,17,9.594289420739127
0,salmonella_Liver,WGCNA,,,,all,18,2.7519872294994383
0,salmonella_Liver,WGCNA,,,,all,19,0.0
0,salmonella_Liver,WGCNA,,,,all,20,10.207401595654707
0,gse73072_hrv_48_64_shedder48_64,WGCNA,,,,all,0,231.5940191904529
0,gse73072_hrv_48_64_shedder48_64,WGCNA,,,,all,1,9.797950750993113
0,gse73072_hrv_48_64_shedder48_64,WGCNA,,,,all,2,148.52232219890587
0,gse73072_hrv_48_64_shedder48_64,WGCNA,,,,all,3,2426.2192364413204
0,gse73072_hrv_48_64_shedder48_64,WGCNA,,,,all,4,224.83701986601338
0,gse73072_hrv_48_64_shedder48_64,WGCNA,,,,all,5,63.3617112473768
0,gse73072_hrv_48_64_shedder48_64,WGCNA,,,,all,6,3080.5261630329137
0,gse73072_hrv_48_64_shedder48_64,WGCNA,,,,all,7,153.5871502181537
