,native,name,p_value
0,GO:0032501,multicellular organismal process,4.658547014749989e-106
1,GO:0048856,anatomical structure development,8.403362565704217e-93
2,GO:0032502,developmental process,1.8282063829359417e-91
3,GO:0007275,multicellular organism development,5.422880560567347e-81
4,GO:0048731,system development,8.052365223484403e-77
5,GO:0048513,animal organ development,7.207279281380367e-66
6,GO:0030154,cell differentiation,9.696512807957375e-62
7,GO:0048869,cellular developmental process,1.007921220097342e-61
8,GO:0009653,anatomical structure morphogenesis,3.0286174492975335e-60
9,GO:0023052,signaling,3.9470822981509316e-55
