,native,name,p_value
0,GO:0005515,protein binding,2.653055552029033e-24
1,GO:0005737,cytoplasm,2.715483370253658e-24
17,GO:0006996,organelle organization,5.722224827225039e-17
38,GO:0005654,nucleoplasm,1.3898016146243538e-14
80,GO:0043412,macromolecule modification,1.0934795935555765e-11
86,GO:0005829,cytosol,1.896124135411683e-11
87,GO:0044260,cellular macromolecule metabolic process,2.3799563773769965e-11
99,GO:0005622,intracellular anatomical structure,1.0459063430005048e-10
102,GO:0043227,membrane-bounded organelle,1.5981658854973645e-10
110,GO:0036211,protein modification process,1.2331785927289576e-09
