,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,ebola_Spleen,1,3,0,0.9887350295465366,1449
0,ebola_Spleen,1,3,1,0.5032064476511265,1091
0,ebola_Spleen,1,3,2,0.6650932711645142,1502
0,gse73072_hrv_48_64_True,1,2,0,0.38850722962123546,167
0,gse73072_hrv_48_64_True,1,2,1,0.3777463221070909,490
0,gse73072_hrv_48_64_True,1,2,2,0.31005152089025945,55
0,gse73072_hrv_48_64_True,1,2,3,0.5120420944838192,898
0,gse73072_hrv_48_64_True,1,2,4,0.5477546704959042,505
0,gse73072_hrv_48_64_True,1,2,5,0.3553306449908612,619
0,gse73072_hrv_48_64_True,1,2,6,0.5221444888537461,587
0,gse73072_hrv_48_64_True,1,2,7,0.4106536664745893,647
0,gse73072_hrv_48_64_True,1,2,8,0.48936251137964637,664
0,gse73072_hrv_48_64_True,1,2,9,0.6158787608232678,608
0,gse73072_hrv_48_64_True,1,2,10,0.4682820762820853,636
0,gse73072_hrv_48_64_True,1,2,11,0.5684650746849379,957
0,gse73072_hrv_48_64_True,1,2,12,0.35632176830084,635
0,gse73072_hrv_48_64_True,1,2,13,0.5408793816459447,340
0,gse73072_hrv_48_64_True,1,2,14,0.593281762514728,76
0,gse73072_hrv_48_64_True,1,2,15,0.5212045405921858,470
0,gse73072_hrv_48_64_True,1,2,16,0.8080499888721717,95
0,gse73072_hrv_48_64_True,1,2,17,0.3255793851926532,350
0,gse73072_hrv_48_64_True,1,2,18,0.22382364941009966,2696
0,gse73072_hrv_48_64_True,1,2,19,0.43409884832995105,987
0,gse73072_hrv_48_64_True,1,2,20,0.27165923049222024,145
0,gse73072_hrv_48_64_True,1,2,21,0.5329190375222701,663
0,gse73072_hrv_48_64_True,1,2,22,0.3878173173021126,453
0,gse73072_hrv_48_64_True,1,2,23,0.5383681004844054,589
0,gse73072_hrv_48_64_True,1,2,24,0.3824261615500402,812
0,gse73072_hrv_48_64_True,1,2,25,0.4243764606375446,77
0,gse73072_hrv_48_64_True,1,2,26,0.5126113071768311,417
0,gse73072_hrv_48_64_True,1,2,27,0.44523136684343495,493
0,gse73072_hrv_48_64_True,1,2,28,0.782498649632328,23
0,gse73072_hrv_48_64_True,1,2,29,0.528411952895963,528
0,gse73072_hrv_48_64_True,1,2,30,0.5686880206869481,707
0,gse73072_hrv_48_64_True,1,2,31,0.4985017294828963,1471
0,gse73072_hrv_48_64_True,1,2,32,0.5467439032051998,764
0,gse73072_hrv_48_64_True,1,2,33,0.6223703759290575,659
0,gse73072_hrv_48_64_True,1,2,34,0.3918827368732131,574
0,gse73072_hrv_48_64_True,1,2,35,0.48271386953288287,1420
