,Mean Relative Gain,Std Relative Gain,Center Dimension,Data Dimension,Prototype,Data Set
0,0.2868525896015416,0.1531865140124325,1,1,eigengene,gse73072_hrv_48_64
0,0.2647024909581503,0.14990286863077776,2,1,eigengene,gse73072_hrv_48_64
0,0.1002026229786448,0.0,4,1,eigengene,gse73072_hrv_48_64
0,0.463311258353307,0.2279179388405271,8,1,eigengene,gse73072_hrv_48_64
0,0.9901814805759591,0.04574760996780286,1,1,flag_mean,gse73072_hrv_48_64
0,0.7759711422530311,0.23537107040221367,1,2,flag_mean,gse73072_hrv_48_64
0,0.7302106273469523,0.027178315337828995,2,1,flag_mean,gse73072_hrv_48_64
0,-0.14732428303865042,0.033470517581299604,2,2,flag_mean,gse73072_hrv_48_64
0,0.8288708990010817,0.05612249856257817,4,1,flag_mean,gse73072_hrv_48_64
0,-0.10152878729638082,0.035107513613828974,4,2,flag_mean,gse73072_hrv_48_64
0,0.7157027088549672,0.21682779519026593,8,1,flag_mean,gse73072_hrv_48_64
0,-3.743382737120271e-09,6.189350522791391e-10,8,2,flag_mean,gse73072_hrv_48_64
0,0.8696797541577389,0.27848202646792153,1,1,flag_median,gse73072_hrv_48_64
0,0.6849919256533218,0.2215029546694667,1,2,flag_median,gse73072_hrv_48_64
0,0.5676727482446102,0.11006525235359321,2,1,flag_median,gse73072_hrv_48_64
0,-0.15017306491419302,0.04310664146865486,2,2,flag_median,gse73072_hrv_48_64
0,0.5881258265812745,0.16444772495607557,4,1,flag_median,gse73072_hrv_48_64
0,-0.1055312176018722,0.022927114263111153,4,2,flag_median,gse73072_hrv_48_64
0,0.697027591072255,0.06308044065441089,8,1,flag_median,gse73072_hrv_48_64
0,-0.01895644918213748,0.007219718707332367,8,2,flag_median,gse73072_hrv_48_64
0,1.2985917039606787,0.47898647240256814,1,1,module_expression,gse73072_hrv_48_64
0,0.28270718555107455,0.051040054970178696,1,1,eigengene,gse73072_hrv_48_64_False
0,0.24562405602039256,0.050258937605662614,2,1,eigengene,gse73072_hrv_48_64_False
0,0.2792156598143736,0.05965266684804195,4,1,eigengene,gse73072_hrv_48_64_False
0,0.2910384545937813,0.054118626976175414,8,1,eigengene,gse73072_hrv_48_64_False
0,0.7987846508719034,0.1019993358807216,1,1,flag_mean,gse73072_hrv_48_64_False
0,0.77424750562461,0.05560067901050719,1,2,flag_mean,gse73072_hrv_48_64_False
0,0.6571467548220442,0.0,2,1,flag_mean,gse73072_hrv_48_64_False
0,-0.059037766053991934,0.03869382594565795,2,2,flag_mean,gse73072_hrv_48_64_False
0,0.5577375686642501,0.11012439253952086,4,1,flag_mean,gse73072_hrv_48_64_False
0,-0.04469721756623072,0.03218706868462452,4,2,flag_mean,gse73072_hrv_48_64_False
0,0.5186846716901652,0.11213862502610536,8,1,flag_mean,gse73072_hrv_48_64_False
0,-4.352874527491224e-09,4.263084584272022e-10,8,2,flag_mean,gse73072_hrv_48_64_False
0,0.7760196461435015,0.03017082082702241,1,1,flag_median,gse73072_hrv_48_64_False
0,0.8690863409923271,0.16725498959589352,1,2,flag_median,gse73072_hrv_48_64_False
0,0.5152539697028002,0.0,2,1,flag_median,gse73072_hrv_48_64_False
0,-0.05740202116748424,0.034764951637807955,2,2,flag_median,gse73072_hrv_48_64_False
0,0.4532171082989323,0.03753663702523085,4,1,flag_median,gse73072_hrv_48_64_False
0,-0.03657721625033282,0.02367290226652525,4,2,flag_median,gse73072_hrv_48_64_False
0,0.4538124179618794,0.09711811754511986,8,1,flag_median,gse73072_hrv_48_64_False
0,0.0190225433775764,0.020222325031087566,8,2,flag_median,gse73072_hrv_48_64_False
0,1.279358145865137,0.48986648844003594,1,1,module_expression,gse73072_hrv_48_64_False
0,0.37632449084353925,0.1308639997128872,1,1,eigengene,gse73072_hrv_48_64_True
0,0.2922252079258843,0.10637248764632819,2,1,eigengene,gse73072_hrv_48_64_True
0,0.47417203967773647,0.12058244097276916,4,1,eigengene,gse73072_hrv_48_64_True
0,0.5095377263931997,0.24091866814766133,8,1,eigengene,gse73072_hrv_48_64_True
0,0.9223596607704078,0.26212386821211286,1,1,flag_mean,gse73072_hrv_48_64_True
0,0.94271632256084,0.18005650109963173,1,2,flag_mean,gse73072_hrv_48_64_True
0,0.6483291720470516,0.15623930987706672,2,1,flag_mean,gse73072_hrv_48_64_True
