,Data Set,Module Refinement Method,Mean Relative Gain
0,gse73072_hrv_48_64,eigengene_1,0.2868525896015416
0,gse73072_hrv_48_64,eigengene_2,0.2647024909581503
0,gse73072_hrv_48_64,eigengene_4,0.1002026229786448
0,gse73072_hrv_48_64,eigengene_8,0.463311258353307
0,gse73072_hrv_48_64,flag_mean_1_1,0.9901814805759591
0,gse73072_hrv_48_64,flag_mean_1_2,0.7759711422530311
0,gse73072_hrv_48_64,flag_mean_2_1,0.7302106273469523
0,gse73072_hrv_48_64,flag_mean_2_2,-0.14732428303865042
0,gse73072_hrv_48_64,flag_mean_4_1,0.8288708990010817
0,gse73072_hrv_48_64,flag_mean_4_2,-0.10152878729638082
0,gse73072_hrv_48_64,flag_mean_8_1,0.7157027088549672
0,gse73072_hrv_48_64,flag_mean_8_2,-3.743382737120271e-09
0,gse73072_hrv_48_64,flag_median_1_1,0.8696797541577389
0,gse73072_hrv_48_64,flag_median_1_2,0.6849919256533218
0,gse73072_hrv_48_64,flag_median_2_1,0.5676727482446102
0,gse73072_hrv_48_64,flag_median_2_2,-0.15017306491419302
0,gse73072_hrv_48_64,flag_median_4_1,0.5881258265812745
0,gse73072_hrv_48_64,flag_median_4_2,-0.1055312176018722
0,gse73072_hrv_48_64,flag_median_8_1,0.697027591072255
0,gse73072_hrv_48_64,flag_median_8_2,-0.01895644918213748
0,gse73072_hrv_48_64,module_expression,1.2985917039606787
0,gse73072_hrv_48_64_False,eigengene_1,0.28270718555107455
0,gse73072_hrv_48_64_False,eigengene_2,0.24562405602039256
0,gse73072_hrv_48_64_False,eigengene_4,0.2792156598143736
0,gse73072_hrv_48_64_False,eigengene_8,0.2910384545937813
0,gse73072_hrv_48_64_False,flag_mean_1_1,0.7987846508719034
0,gse73072_hrv_48_64_False,flag_mean_1_2,0.77424750562461
0,gse73072_hrv_48_64_False,flag_mean_2_1,0.6571467548220442
0,gse73072_hrv_48_64_False,flag_mean_2_2,-0.059037766053991934
0,gse73072_hrv_48_64_False,flag_mean_4_1,0.5577375686642501
0,gse73072_hrv_48_64_False,flag_mean_4_2,-0.04469721756623072
0,gse73072_hrv_48_64_False,flag_mean_8_1,0.5186846716901652
0,gse73072_hrv_48_64_False,flag_mean_8_2,-4.352874527491224e-09
0,gse73072_hrv_48_64_False,flag_median_1_1,0.7760196461435015
0,gse73072_hrv_48_64_False,flag_median_1_2,0.8690863409923271
0,gse73072_hrv_48_64_False,flag_median_2_1,0.5152539697028002
0,gse73072_hrv_48_64_False,flag_median_2_2,-0.05740202116748424
0,gse73072_hrv_48_64_False,flag_median_4_1,0.4532171082989323
0,gse73072_hrv_48_64_False,flag_median_4_2,-0.03657721625033282
0,gse73072_hrv_48_64_False,flag_median_8_1,0.4538124179618794
0,gse73072_hrv_48_64_False,flag_median_8_2,0.0190225433775764
0,gse73072_hrv_48_64_False,module_expression,1.279358145865137
0,gse73072_hrv_48_64_True,eigengene_1,0.37632449084353925
0,gse73072_hrv_48_64_True,eigengene_2,0.2922252079258843
0,gse73072_hrv_48_64_True,eigengene_4,0.47417203967773647
0,gse73072_hrv_48_64_True,eigengene_8,0.5095377263931997
0,gse73072_hrv_48_64_True,flag_mean_1_1,0.9223596607704078
0,gse73072_hrv_48_64_True,flag_mean_1_2,0.94271632256084
0,gse73072_hrv_48_64_True,flag_mean_2_1,0.6483291720470516
0,gse73072_hrv_48_64_True,flag_mean_2_2,-0.12112769235361809
0,gse73072_hrv_48_64_True,flag_mean_4_1,0.6983390620518165
0,gse73072_hrv_48_64_True,flag_mean_4_2,-0.08886915987202738
0,gse73072_hrv_48_64_True,flag_mean_8_1,0.7422492107680412
0,gse73072_hrv_48_64_True,flag_mean_8_2,-3.995406916423861e-09
0,gse73072_hrv_48_64_True,flag_median_1_1,0.6836094598393954
0,gse73072_hrv_48_64_True,flag_median_1_2,0.6357736837621775
0,gse73072_hrv_48_64_True,flag_median_2_1,0.6854321560664562
0,gse73072_hrv_48_64_True,flag_median_2_2,-0.12946806973754685
0,gse73072_hrv_48_64_True,flag_median_4_1,0.6469138238315457
0,gse73072_hrv_48_64_True,flag_median_4_2,-0.09757139735148736
0,gse73072_hrv_48_64_True,flag_median_8_1,0.7017681769497266
0,gse73072_hrv_48_64_True,flag_median_8_2,0.0005403881827900595
0,gse73072_hrv_48_64_True,module_expression,1.6250455897932352
0,salmonella_Liver,eigengene_1,1.3297574051790864
0,salmonella_Liver,eigengene_2,1.4740020143220118
0,salmonella_Liver,eigengene_4,1.491738708228387
0,salmonella_Liver,eigengene_8,1.3105802473202257
0,salmonella_Liver,flag_mean_1_1,1.7770238938645277
0,salmonella_Liver,flag_mean_1_2,1.4886642306711697
0,salmonella_Liver,flag_mean_2_1,1.3796853356538716
0,salmonella_Liver,flag_mean_2_2,-0.08790498027442528
0,salmonella_Liver,flag_mean_4_1,1.7393018276294074
0,salmonella_Liver,flag_mean_4_2,-0.08540898248869623
0,salmonella_Liver,flag_mean_8_1,1.304762539529253
0,salmonella_Liver,flag_mean_8_2,-1.0379054082854111e-08
0,salmonella_Liver,flag_median_1_1,1.784041928004426
0,salmonella_Liver,flag_median_1_2,1.5051656945186602
0,salmonella_Liver,flag_median_2_1,1.931016930248979
0,salmonella_Liver,flag_median_2_2,-0.051382540016112685
0,salmonella_Liver,flag_median_4_1,1.6968549000323052
0,salmonella_Liver,flag_median_4_2,-0.0310526952446859
0,salmonella_Liver,flag_median_8_1,1.3383356076377138
0,salmonella_Liver,flag_median_8_2,0.07059060447005691
0,salmonella_Liver,module_expression,1.738669723500789
0,salmonella_Liver_susceptible,eigengene_1,0.1653856271433028
0,salmonella_Liver_susceptible,eigengene_2,-0.054122442952467584
0,salmonella_Liver_susceptible,eigengene_4,0.0366164303429638
0,salmonella_Liver_susceptible,eigengene_8,5.639807352122021
0,salmonella_Liver_susceptible,flag_mean_1_1,0.44081347366426327
0,salmonella_Liver_susceptible,flag_mean_1_2,0.13222615705488971
0,salmonella_Liver_susceptible,flag_mean_2_1,
0,salmonella_Liver_susceptible,flag_mean_2_2,-0.5980381284168208
0,salmonella_Liver_susceptible,flag_mean_4_1,-0.14712913962686172
0,salmonella_Liver_susceptible,flag_mean_4_2,-0.5362081371908065
0,salmonella_Liver_susceptible,flag_mean_8_1,3.8898843964874095
0,salmonella_Liver_susceptible,flag_mean_8_2,-6.0074338392723804e-09
0,salmonella_Liver_susceptible,flag_median_1_1,0.47102788483273955
0,salmonella_Liver_susceptible,flag_median_1_2,0.21116296163455023
0,salmonella_Liver_susceptible,flag_median_2_1,
0,salmonella_Liver_susceptible,flag_median_2_2,-0.6053206197205421
0,salmonella_Liver_susceptible,flag_median_4_1,-0.11506302265179065
0,salmonella_Liver_susceptible,flag_median_4_2,-0.49897155072003996
0,salmonella_Liver_susceptible,flag_median_8_1,4.249753612366069
0,salmonella_Liver_susceptible,flag_median_8_2,0.5322013544470824
0,salmonella_Liver_susceptible,module_expression,0.6761709666539605
0,salmonella_Liver_tolerant,eigengene_1,2.179474719611731
0,salmonella_Liver_tolerant,eigengene_2,1.7230046434106825
0,salmonella_Liver_tolerant,eigengene_4,1.463948105160321
0,salmonella_Liver_tolerant,eigengene_8,1.2625813006715718
0,salmonella_Liver_tolerant,flag_mean_1_1,2.3958104832517257
0,salmonella_Liver_tolerant,flag_mean_1_2,2.189445656074097
0,salmonella_Liver_tolerant,flag_mean_2_1,
0,salmonella_Liver_tolerant,flag_mean_2_2,-0.08210197099357247
0,salmonella_Liver_tolerant,flag_mean_4_1,1.82769692181626
0,salmonella_Liver_tolerant,flag_mean_4_2,-0.0561588563710024
0,salmonella_Liver_tolerant,flag_mean_8_1,1.3726754776181083
0,salmonella_Liver_tolerant,flag_mean_8_2,-1.1817222533849758e-08
0,salmonella_Liver_tolerant,flag_median_1_1,2.5369376902150553
0,salmonella_Liver_tolerant,flag_median_1_2,2.2606340253649955
0,salmonella_Liver_tolerant,flag_median_2_1,
0,salmonella_Liver_tolerant,flag_median_2_2,-0.08469525753988126
0,salmonella_Liver_tolerant,flag_median_4_1,1.6249695452601267
0,salmonella_Liver_tolerant,flag_median_4_2,0.008212783177253167
0,salmonella_Liver_tolerant,flag_median_8_1,1.169716891561136
0,salmonella_Liver_tolerant,flag_median_8_2,0.07138183898209854
0,salmonella_Liver_tolerant,module_expression,2.596675108839364
