,Data Set,Module Refinement Method,Mean Relative Gain
0,gse73072_hrv_48_64,eigengene_1,0.02759108833528432
0,gse73072_hrv_48_64,eigengene_2,0.04952750775365461
0,gse73072_hrv_48_64,eigengene_4,0.08289953220938995
0,gse73072_hrv_48_64,eigengene_8,0.013995344651543506
0,gse73072_hrv_48_64,flag_mean_1_1,0.04911653455895948
0,gse73072_hrv_48_64,flag_mean_1_2,0.07824929512391138
0,gse73072_hrv_48_64,flag_mean_2_1,0.0381528062372305
0,gse73072_hrv_48_64,flag_mean_2_2,0.001281861600448675
0,gse73072_hrv_48_64,flag_mean_4_1,0.014483937305802358
0,gse73072_hrv_48_64,flag_mean_4_2,0.007225415974006588
0,gse73072_hrv_48_64,flag_mean_8_1,0.008498609308939375
0,gse73072_hrv_48_64,flag_mean_8_2,-5.929017821793004e-06
0,gse73072_hrv_48_64,flag_median_1_1,0.09557326747196986
0,gse73072_hrv_48_64,flag_median_1_2,0.07985797659194915
0,gse73072_hrv_48_64,flag_median_2_1,0.07315775547726266
0,gse73072_hrv_48_64,flag_median_2_2,0.005393182042751632
0,gse73072_hrv_48_64,flag_median_4_1,0.039473964056151535
0,gse73072_hrv_48_64,flag_median_4_2,-0.0030159183820059
0,gse73072_hrv_48_64,flag_median_8_1,0.015620065416763806
0,gse73072_hrv_48_64,flag_median_8_2,-0.001498515514834775
0,gse73072_hrv_48_64,module_expression,0.08980016381058487
0,gse73072_hrv_48_64_False,eigengene_1,0.01563095543570727
0,gse73072_hrv_48_64_False,eigengene_2,0.001145682708069029
0,gse73072_hrv_48_64_False,eigengene_4,-0.013596577378371888
0,gse73072_hrv_48_64_False,eigengene_8,0.0198986803908614
0,gse73072_hrv_48_64_False,flag_mean_1_1,0.03605913053610473
0,gse73072_hrv_48_64_False,flag_mean_1_2,0.02932349333245247
0,gse73072_hrv_48_64_False,flag_mean_2_1,0.0075443363124614304
0,gse73072_hrv_48_64_False,flag_mean_2_2,-0.002869239563630632
0,gse73072_hrv_48_64_False,flag_mean_4_1,-0.00462963792854929
0,gse73072_hrv_48_64_False,flag_mean_4_2,0.00016715633203698844
0,gse73072_hrv_48_64_False,flag_mean_8_1,0.001630285936432968
0,gse73072_hrv_48_64_False,flag_mean_8_2,-4.928053411545897e-06
0,gse73072_hrv_48_64_False,flag_median_1_1,0.03761702732233352
0,gse73072_hrv_48_64_False,flag_median_1_2,0.04494496813430393
0,gse73072_hrv_48_64_False,flag_median_2_1,0.04187908914636873
0,gse73072_hrv_48_64_False,flag_median_2_2,0.003629972630827716
0,gse73072_hrv_48_64_False,flag_median_4_1,0.0016389996946557146
0,gse73072_hrv_48_64_False,flag_median_4_2,0.0038831765753825744
0,gse73072_hrv_48_64_False,flag_median_8_1,-0.004528130906468197
0,gse73072_hrv_48_64_False,flag_median_8_2,0.010190013703430445
0,gse73072_hrv_48_64_False,module_expression,0.04061081073029049
0,gse73072_hrv_48_64_True,eigengene_1,0.020154654638299685
0,gse73072_hrv_48_64_True,eigengene_2,0.02462703717447623
0,gse73072_hrv_48_64_True,eigengene_4,-0.00502201471003938
0,gse73072_hrv_48_64_True,eigengene_8,-0.0032469925383895315
0,gse73072_hrv_48_64_True,flag_mean_1_1,0.06565976360872239
0,gse73072_hrv_48_64_True,flag_mean_1_2,0.05415114215278849
0,gse73072_hrv_48_64_True,flag_mean_2_1,0.026594724826219607
0,gse73072_hrv_48_64_True,flag_mean_2_2,-0.006737960566321877
0,gse73072_hrv_48_64_True,flag_mean_4_1,0.028824012433554102
0,gse73072_hrv_48_64_True,flag_mean_4_2,0.00273891699823392
0,gse73072_hrv_48_64_True,flag_mean_8_1,-0.006434502328370145
0,gse73072_hrv_48_64_True,flag_mean_8_2,-5.457959494115095e-06
0,gse73072_hrv_48_64_True,flag_median_1_1,0.14355402080466528
0,gse73072_hrv_48_64_True,flag_median_1_2,0.10231734826813632
0,gse73072_hrv_48_64_True,flag_median_2_1,0.06580407072602161
0,gse73072_hrv_48_64_True,flag_median_2_2,-0.012507568094211741
0,gse73072_hrv_48_64_True,flag_median_4_1,0.037453850483413986
0,gse73072_hrv_48_64_True,flag_median_4_2,-0.019614826579423438
0,gse73072_hrv_48_64_True,flag_median_8_1,0.012642318266835872
0,gse73072_hrv_48_64_True,flag_median_8_2,-0.0021819011943865264
