,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
0,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,0,0.95,1449
1,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,1,0.95,1091
2,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,2,0.8875,1502
3,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,0,1.0,949
4,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,1,0.5,2619
5,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,2,0.75,1146
6,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,3,0.5,1458
7,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,4,0.625,2278
8,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,5,1.0,797
9,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,6,1.0,809
10,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,7,0.5,1095
11,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,8,0.875,2555
12,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,9,0.875,2746
13,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,10,0.75,967
14,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,11,0.625,427
15,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,12,1.0,2177
16,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,13,1.0,2409
17,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,14,0.875,2718
18,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,15,1.0,1182
19,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,0,0.9722222222222222,3589
20,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,1,0.9444444444444444,260
21,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,2,0.9722222222222222,2706
22,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,3,0.9166666666666667,2058
23,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,4,1.0,1756
24,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,5,0.9444444444444444,1464
25,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,6,0.9444444444444444,816
26,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,7,1.0,516
27,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,8,1.0,1555
28,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,9,1.0,1430
29,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,10,0.9722222222222222,2392
30,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,11,0.9722222222222222,2170
31,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,12,0.9722222222222222,1565
32,ebola_Spleen_Tolerant,WGCNA_LBG,eigengene,1,1,1,0,1.0,1852
33,ebola_Spleen_Tolerant,WGCNA_LBG,eigengene,1,1,1,1,1.0,2166
34,ebola_Spleen,WGCNA_LBG,eigengene,1,1,1,0,0.9090909090909092,1924
35,ebola_Spleen,WGCNA_LBG,eigengene,1,1,1,1,0.9545454545454546,1821
36,ebola_Spleen,WGCNA_LBG,eigengene,1,1,1,2,0.9545454545454546,294
37,ebola_Liver_Tolerant,WGCNA_LBG,eigengene,1,1,2,0,0.9285714285714286,785
38,ebola_Liver_Tolerant,WGCNA_LBG,eigengene,1,1,2,1,0.8785714285714286,3185
39,ebola_Spleen,WGCNA_LBG,eigengene,1,1,0,0,1.0,1418
40,ebola_Spleen,WGCNA_LBG,eigengene,1,1,0,1,1.0,2614
41,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,0,1.0,387
42,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,1,0.8128654970760234,184
43,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,2,0.6169590643274854,34
44,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,3,0.6461988304093567,150
45,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,4,0.9444444444444444,704
46,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,5,0.8918128654970761,426
47,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,6,0.9444444444444444,616
48,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,7,0.9736842105263157,715
49,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,8,0.9181286549707601,605
50,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,9,0.9444444444444444,765
