,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
0,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,0,0.95,1449
1,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,1,0.95,1091
2,ebola_Spleen,WGCNA_LBG,eigengene,1,1,3,2,0.8875,1502
3,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,0,0.6190476190476191,167
4,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,1,0.7380952380952381,490
5,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,2,0.6904761904761905,55
6,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,3,0.6190476190476191,898
7,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,4,0.7142857142857142,505
8,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,5,0.6428571428571428,619
9,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,6,0.5238095238095238,587
10,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,7,0.5952380952380952,647
11,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,8,0.6666666666666666,664
12,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,9,0.5952380952380952,608
13,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,10,0.7857142857142857,636
14,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,11,0.6428571428571428,957
15,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,12,0.6428571428571428,635
16,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,13,0.7380952380952381,340
17,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,14,0.6904761904761905,76
18,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,15,0.7142857142857142,470
19,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,16,0.6904761904761905,95
20,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,17,0.6904761904761905,350
21,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,18,0.6904761904761905,2696
22,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,19,0.6428571428571428,987
23,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,20,0.6428571428571428,145
24,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,21,0.6666666666666666,663
25,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,22,0.7380952380952381,453
26,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,23,0.7857142857142857,589
27,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,24,0.6666666666666666,812
28,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,25,0.7619047619047619,77
29,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,26,0.7142857142857142,417
30,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,27,0.6190476190476191,493
31,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,28,0.5476190476190476,23
32,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,29,0.6666666666666666,528
33,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,30,0.7142857142857142,707
34,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,31,0.7380952380952381,1471
35,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,32,0.6666666666666666,764
36,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,33,0.8095238095238095,659
37,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,34,0.6904761904761905,574
38,gse73072_hrv_48_64_True,WGCNA_LBG,eigengene,1,1,2,35,0.6428571428571428,1420
39,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,0,,949
40,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,1,,2619
41,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,2,,1146
42,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,3,,1458
43,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,4,,2278
44,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,5,,797
45,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,6,,809
46,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,7,,1095
47,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,8,,2555
