,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,GO Significance
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,0,349.27261272440273
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,1,1653.7839796819794
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,2,0.0
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,3,37.38490123592093
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,4,605.8110145909639
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,5,651.3168789323217
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,6,0.0
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,7,2000.4774633657967
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,8,6767.173906924836
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,9,126.535195044359
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,10,3897.0952887970625
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,11,90.0830680303125
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,12,867.5622297450427
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,13,362.7981876111419
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,14,169.26586978398927
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,15,1101.061058377336
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,16,328.8427832669054
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,17,124.7472211530536
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,18,1168.6158442160609
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,19,68.59775105625242
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,20,647.8725415932754
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,0,281.34889832850195
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,1,8.427584636214252
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,2,473.7690783094864
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,3,2020.274822446725
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,4,336.2163384864236
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,5,959.2347055753223
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,6,1302.880108594436
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,7,412.69957815974647
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,8,581.2450742504142
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,9,5.151283251219963
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,10,1365.885110769013
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,11,1619.079238699384
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,12,0.0
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,13,1381.1203162034876
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,14,228.61521991295317
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,15,1062.2482502162543
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,16,248.60320169523675
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,17,270.32502919129655
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,18,328.53515103969045
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,19,339.9249477672793
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,20,175.79285150428962
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,21,906.458422419089
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,22,1332.0275566974806
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,23,269.3928847611482
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,24,1064.5297141311594
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,25,176.78493649848267
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,26,534.6477352643615
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,27,643.9604626063414
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,28,965.3588865274426
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,29,1873.1421885463283
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,30,650.7122453284549
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,31,181.10025356789296
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,32,4342.337978181915
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,33,198.09359996793003
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,34,3348.194763257422
0,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,all,35,563.2863896199324
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,0,85.21386421741174
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,1,163.01338461221405
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,2,1436.39363033054
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,3,22.021108227825753
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,4,836.9584797009701
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,5,179.83670714634215
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,6,10.286779742066898
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,7,93.37237667167642
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,8,289.6019843672588
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,9,242.34758128361696
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,10,1695.1971938257607
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,11,1745.9344892749145
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,12,1872.0284175415256
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,13,4598.059482879299
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,14,720.7009425781717
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,15,107.23912776503111
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,16,130.0822383416193
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,17,460.87198450576483
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,18,75.73359096846355
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,19,3.7412682379109263
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,20,3838.4990526679553
0,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,21,1800.3209625166392
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,0,365.54785665468205
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,1,154.6342988482279
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,2,17248.55754859056
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,3,1255.935768874754
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,4,127.69848292079082
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,5,230.13120003545058
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,6,1570.794735848427
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,7,1431.8632685449306
0,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,8,22.610378944396814
