,module 4,module 6,module 15
0,202095_s_at,200986_at,200628_s_at
1,202705_at,201647_s_at,200629_at
2,202870_s_at,202086_at,200878_at
3,203065_s_at,202145_at,200881_s_at
4,204562_at,202269_x_at,200887_s_at
5,204836_at,202270_at,200923_at
6,204963_at,202411_at,200939_s_at
7,205321_at,202430_s_at,200983_x_at
8,205692_s_at,202672_s_at,200984_s_at
9,206641_at,202687_s_at,200985_s_at
10,209138_x_at,202869_at,201015_s_at
11,209642_at,203153_at,201538_s_at
12,209686_at,203595_s_at,201641_at
13,209773_s_at,203596_s_at,201646_at
14,211430_s_at,204211_x_at,201649_at
15,211633_x_at,204415_at,201662_s_at
16,211634_x_at,204439_at,201760_s_at
17,211635_x_at,204533_at,201762_s_at
18,211637_x_at,204747_at,201798_s_at
19,211639_x_at,204972_at,201888_s_at
20,211640_x_at,205003_at,201924_at
21,211641_x_at,205170_at,201935_s_at
22,211642_at,205483_s_at,201936_s_at
23,211643_x_at,205552_s_at,201995_at
24,211644_x_at,205569_at,201999_s_at
25,211645_x_at,205660_at,202087_s_at
26,211650_x_at,206025_s_at,202101_s_at
27,211655_at,206026_s_at,202177_at
28,211798_x_at,206133_at,202307_s_at
29,211835_at,206513_at,202375_at
30,211868_x_at,206553_at,202446_s_at
31,211881_x_at,206576_s_at,202581_at
32,211908_x_at,206637_at,202688_at
33,212097_at,206715_at,202748_at
34,212338_at,207500_at,202779_s_at
35,212592_at,208087_s_at,202837_at
36,213005_s_at,209417_s_at,202863_at
37,213502_x_at,209498_at,202864_s_at
38,214209_s_at,209999_x_at,202905_x_at
39,214669_x_at,210001_s_at,202906_s_at
40,214677_x_at,210029_at,202912_at
41,214710_s_at,210218_s_at,203052_at
42,214768_x_at,210657_s_at,203094_at
43,214777_at,210732_s_at,203127_s_at
44,214836_x_at,210770_s_at,203128_at
45,214916_x_at,210797_s_at,203147_s_at
46,214973_x_at,210985_s_at,203148_s_at
47,215035_at,211267_at,203236_s_at
48,215118_s_at,211889_x_at,203258_at
49,215121_x_at,212845_at,203276_at
50,215176_x_at,213294_at,203567_s_at
51,215214_at,213361_at,203574_at
52,215379_x_at,213797_at,203610_s_at
53,215777_at,214038_at,203672_x_at
54,215946_x_at,214059_at,203770_s_at
55,216207_x_at,214329_x_at,203771_s_at
56,216365_x_at,214453_s_at,203773_x_at
57,216401_x_at,214511_x_at,203805_s_at
58,216412_x_at,214933_at,203806_s_at
59,216430_x_at,215495_s_at,203922_s_at
60,216491_x_at,215617_at,203964_at
61,216510_x_at,215838_at,204043_at
62,216517_at,216020_at,204204_at
63,216541_x_at,216598_s_at,204205_at
64,216542_x_at,216950_s_at,204249_s_at
65,216557_x_at,217502_at,204502_at
66,216560_x_at,217933_s_at,204526_s_at
67,216573_at,218400_at,204601_at
68,216576_x_at,218943_s_at,204668_at
69,216829_at,218986_s_at,204698_at
70,216853_x_at,219062_s_at,204745_x_at
71,216984_x_at,219209_at,204769_s_at
72,217022_s_at,219211_at,204770_at
73,217084_at,219352_at,204804_at
74,217148_x_at,219364_at,204858_s_at
75,217157_x_at,219519_s_at,204929_s_at
76,217179_x_at,219607_s_at,204994_at
77,217227_x_at,219684_at,204998_s_at
78,217235_x_at,219691_at,204999_s_at
79,217236_x_at,219716_at,205061_s_at
80,217239_x_at,219758_at,205067_at
81,217258_x_at,219863_at,205098_at
82,217281_x_at,219885_at,205099_s_at
83,217320_at,221680_s_at,205148_s_at
84,217360_x_at,222154_s_at,205241_at
85,217378_x_at,44673_at,205467_at
86,217480_x_at,AFFX-HUMISGF3A/M97935_5_at,205469_s_at
87,220784_s_at,,205500_at
88,220785_at,,205585_at
89,221122_at,,205687_at
90,221200_at,,205698_s_at
91,221253_s_at,,205699_at
92,221286_s_at,,205781_at
93,221297_at,,205801_s_at
94,221651_x_at,,205819_at
95,221671_x_at,,205875_s_at
96,221690_s_at,,205896_at
97,,,206011_at
98,,,206028_s_at
99,,,206090_s_at
100,,,206129_s_at
101,,,206247_at
102,,,206332_s_at
103,,,206420_at
104,,,206440_at
105,,,206461_x_at
106,,,206503_x_at
107,,,206512_at
108,,,206565_x_at
109,,,207002_s_at
110,,,207046_at
111,,,207104_x_at
112,,,207180_s_at
113,,,207291_at
114,,,207338_s_at
115,,,207374_at
116,,,207375_s_at
117,,,207565_s_at
118,,,207574_s_at
119,,,207713_s_at
120,,,207777_s_at
121,,,207982_at
122,,,208012_x_at
123,,,208180_s_at
124,,,208368_s_at
125,,,208392_x_at
126,,,208423_s_at
127,,,208428_at
128,,,208436_s_at
129,,,208450_at
130,,,208581_x_at
131,,,208653_s_at
132,,,208751_at
133,,,208912_s_at
134,,,208934_s_at
135,,,208936_x_at
136,,,208965_s_at
137,,,208966_x_at
138,,,209211_at
139,,,209212_s_at
140,,,209213_at
141,,,209304_x_at
142,,,209305_s_at
143,,,209310_s_at
144,,,209318_x_at
145,,,209457_at
146,,,209545_s_at
147,,,209546_s_at
148,,,209568_s_at
149,,,209571_at
150,,,209593_s_at
151,,,209640_at
152,,,209684_at
153,,,209722_s_at
154,,,209761_s_at
155,,,209762_x_at
156,,,209803_s_at
157,,,209850_s_at
158,,,209906_at
159,,,209920_at
160,,,209955_s_at
161,,,209969_s_at
162,,,209970_x_at
163,,,210007_s_at
164,,,210087_s_at
165,,,210152_at
166,,,210163_at
167,,,210166_at
168,,,210190_at
169,,,210197_at
170,,,210214_s_at
171,,,210219_at
172,,,210223_s_at
173,,,210348_at
174,,,210362_x_at
175,,,210458_s_at
176,,,210592_s_at
177,,,210610_at
178,,,210705_s_at
179,,,210846_x_at
180,,,210873_x_at
181,,,210889_s_at
182,,,211012_s_at
183,,,211013_x_at
184,,,211014_s_at
185,,,211044_at
186,,,211122_s_at
187,,,211165_x_at
188,,,211366_x_at
189,,,211367_s_at
190,,,211368_s_at
191,,,211434_s_at
192,,,211456_x_at
193,,,211588_s_at
194,,,211612_s_at
195,,,211729_x_at
196,,,211826_s_at
197,,,211864_s_at
198,,,211883_x_at
199,,,211887_x_at
200,,,212185_x_at
201,,,212268_at
202,,,212285_s_at
203,,,212305_s_at
204,,,212380_at
205,,,212463_at
206,,,212657_s_at
207,,,212658_at
208,,,212659_s_at
209,,,212733_at
210,,,212735_at
211,,,212807_s_at
212,,,212864_at
213,,,212906_at
214,,,213073_at
215,,,213261_at
216,,,213293_s_at
217,,,213329_at
218,,,213497_at
219,,,213560_at
220,,,213572_s_at
221,,,213716_s_at
222,,,213734_at
223,,,213988_s_at
224,,,214014_at
225,,,214269_at
226,,,214290_s_at
227,,,214472_at
228,,,214541_s_at
229,,,214618_at
230,,,214706_at
231,,,214708_at
232,,,214770_at
233,,,214838_at
234,,,214866_at
235,,,214967_at
236,,,215044_s_at
237,,,215209_at
238,,,215231_at
239,,,215641_at
240,,,215749_s_at
241,,,215754_at
242,,,215966_x_at
243,,,215977_x_at
244,,,216202_s_at
245,,,216243_s_at
246,,,216336_x_at
247,,,216565_x_at
248,,,216628_at
249,,,216951_at
250,,,217165_x_at
251,,,217167_x_at
252,,,217199_s_at
253,,,217419_x_at
254,,,217508_s_at
255,,,217518_at
256,,,217929_s_at
257,,,217985_s_at
258,,,218202_x_at
259,,,218280_x_at
260,,,218408_at
261,,,218429_s_at
262,,,218543_s_at
263,,,218578_at
264,,,218625_at
265,,,218666_s_at
266,,,218776_s_at
267,,,218809_at
268,,,218815_s_at
269,,,218901_at
270,,,218999_at
271,,,219014_at
272,,,219055_at
273,,,219202_at
274,,,219403_s_at
275,,,219669_at
276,,,219763_at
277,,,219799_s_at
278,,,219810_at
279,,,219868_s_at
280,,,219895_at
281,,,219938_s_at
282,,,220049_s_at
283,,,220066_at
284,,,220104_at
285,,,220160_s_at
286,,,220252_x_at
287,,,220315_at
288,,,220358_at
289,,,220384_at
290,,,220419_s_at
291,,,220492_s_at
292,,,220576_at
293,,,220615_s_at
294,,,220998_s_at
295,,,221044_s_at
296,,,221050_s_at
297,,,221245_s_at
298,,,221345_at
299,,,221385_s_at
300,,,221432_s_at
301,,,221484_at
302,,,221641_s_at
303,,,221653_x_at
304,,,221766_s_at
305,,,221816_s_at
306,,,221827_at
307,,,221865_at
308,,,222217_s_at
309,,,33304_at
310,,,33736_at
311,,,34689_at
312,,,35254_at
313,,,37943_at
314,,,39402_at
315,,,53720_at
316,,,58916_at
317,,,AFFX-HUMISGF3A/M97935_3_at
318,,,AFFX-HUMISGF3A/M97935_MA_at
319,,,AFFX-HUMISGF3A/M97935_MB_at
