,module 2,module 11,module 16
0,Setd6,Gm9705,Eif2b2
1,Bcl7a,Igkv1-117,Tor3a
2,Itgb7,Zfp703,Gm216
3,Mettl22,Sytl1,Il10
4,Hdgf,2700073G19Rik,Fcgr4
5,Chi3l3,Tmprss13,Efhc1
6,Apol7c,Asph,Adamts4
7,Csn3,Gm14257,Shisa4
8,Timp1,Ighv1-19,D430040D24Rik
9,Mup14,SNORA18,SNORD51
10,Wls,Gtpbp1,Dock10
11,Mir99a,Ighv13-2,Pyhin1
12,Icmt,Rnf208,Phlda3
13,Gm10653,Opn1sw,Pask
14,Gm20419,Gm15556,Gm14399
15,Il23r,Ighj3,Ptpn18
16,Gm962,Gm14012,Gm16026
17,Ppm1h,Fcnb,Cd84
18,Cep63,Aga,A630001G21Rik
19,Gm3252,Cpe,Haus2
20,Htt,Actr1a,Gm7592
21,Gm9222,Dennd2c,St8sia4
22,Mir1945,Btn2a2,Arhgef4
23,Mipol1,Fam193a,Gm15789
24,Mcm10,March4,Fcer1g
25,Tbc1d14,Gm4795,Gm17407
26,Ms4a6d,Gm15816,Zan
27,Wdr47,Igkv3-4,Fbxo15
28,Clec4d,2410127L17Rik,Ikzf2
29,1700020I14Rik,D6Ertd474e,Pde6c
30,Cdca2,Trav15-2-dv6-2,Bend6
31,Copg2,Gm12709,Mgat4a
32,Ly6c2,Btn3a3,Il1r2
33,Dnase1,Slit2,Fhl2
34,Gm5454,RP24-484G16.9.1,Kif14
35,Nom1,Igkv1-88,Gm11052
36,Gm15337,Trav14-2,Zfp647
37,Srek1ip1,4632428C04Rik,Gm7855
38,A730049H05Rik,4930430F08Rik,AI607873
39,Psmd10,Nat1,Ifi204
40,Dcst1,Pappa2,Aff3
41,Cdc123,Gapt,Wdr35
42,Cndp2,Gm20400,Mfap2
43,Ifi44,Gm15232,Gm15727
44,Hectd2,Spib,1700056E22Rik
45,Golm1,4933424M12Rik,Gm15562
46,1700112E06Rik,Mir24-2,Scrt2
47,Ear2,Fkbp14,Pvrl4
48,Cct8,Gm17511,Gm12364
49,Pa2g4,D2Ertd750e,Arl4c
50,Lox,Siglecg,Gm16083
51,Fam175a,A130023I24Rik,Kcnk4
52,Zfp957,A930003A15Rik,Gpr64
53,2010109K11Rik,Trat1,Vangl2
54,Adap1,Cldn13,Ccdc19
55,0610037P05Rik,Ampd2,Zap70
56,Rsl1,Gsk3b,Rps6-ps3
57,Plvap,Brix1,2310046O06Rik
58,Gm4835,Ighv5-17,Fam178b
59,Prex1,C86695,Neurl3
60,Gm17712,Ighv8-5,Ugt1a7c
61,Rnf34,2610034M16Rik,4930579G22Rik
62,Gm17116,Chmp5,Cd48
63,Ccdc109b,Gm7535,Dtl
