,module 2,module 11,module 16
0,Setd6,Gm9705,Eif2b2
1,Bcl7a,Igkv1-117,Tor3a
2,Itgb7,Lnx2,Gm216
3,Mettl22,Nup210,Il10
4,Hdgf,Gbf1,Fcgr4
5,Chi3l3,Zfp703,Efhc1
6,Apol7c,Gm16576,Adamts4
7,Csn3,Caprin1,Shisa4
8,Popdc2,Sytl1,D430040D24Rik
9,Timp1,2410002O22Rik,SNORD51
10,Mup14,Gtse1,Dock10
11,Wls,2700073G19Rik,Pyhin1
12,Mir99a,Tmprss13,2900097C17Rik
13,Icmt,Asph,Phlda3
14,Gm10653,Crip2,Pask
15,Il23r,Gm14257,Gm14399
16,9930023K05Rik,Ighv1-19,Ptpn18
17,Gm962,SNORA18,Gm16026
18,Ppm1h,Gtpbp1,Cd84
19,Cep63,Uba1,A630001G21Rik
20,Gm3252,Trbv2,Haus2
21,Htt,Dhdds,Gm7592
22,Gm9222,Ighv13-2,St8sia4
23,Mir1945,Rnf208,Arhgef4
24,Mipol1,Map4k2,Gm15789
25,Mcm10,Gm15556,Fcer1g
26,Tbc1d14,Ighj3,Gm17407
27,Ms4a6d,Gm14012,Fbxo15
28,Wdr47,Fcnb,Ikzf2
29,Clec4d,Cpe,Pde6c
30,1700020I14Rik,Actr1a,Bend6
31,Cdca2,4933426D04Rik,Mgat4a
32,Copg2,5330437I02Rik,Il1r2
33,Ly6c2,Dennd2c,Cir1
34,Dnase1,Btn2a2,Fhl2
35,Gm5454,Crocc,Kif14
36,Fam26e,March4,Zfp647
37,Nom1,Gm4795,Gm7855
38,Gm15337,Gm15816,Gm16701
39,Srek1ip1,Igkv3-4,Cd55
40,Apbb1ip,Cd79a,Gm2822
41,A730049H05Rik,D6Ertd474e,AI607873
42,Psmd10,Trav15-2-dv6-2,Ifi204
43,Dcst1,Gm12709,Aff3
44,Cdc123,Btn3a3,Wdr35
45,Cndp2,Slit2,Mfap2
46,Ifi44,RP24-484G16.9.1,Gm15727
47,Hectd2,Igkv1-88,1700056E22Rik
48,Lias,Trav14-2,Gm15562
49,Golm1,4632428C04Rik,Scrt2
50,1700112E06Rik,4930430F08Rik,Pvrl4
51,Ear2,Nat1,Gm12364
52,Cct8,Pappa2,Arl4c
53,Mical3,Gm20536,Gm16083
54,Pa2g4,Gapt,Kcnk4
55,Lox,Gm20400,Vangl2
56,Fam175a,Spib,Ccdc19
57,Zfp957,4933424M12Rik,Zap70
58,2010109K11Rik,Mir24-2,Rps6-ps3
59,Adap1,Fkbp14,2310046O06Rik
60,0610037P05Rik,Gm17511,Fam178b
61,Tmem59l,D2Ertd750e,Neurl3
62,Rsl1,Siglecg,Ugt1a7c
63,Plvap,A130023I24Rik,Cd48
