,module 2,module 11,module 16
0,Setd6,Gm9705,Eif2b2
1,Bcl7a,Igkv1-117,Fam117b
2,1110008J03Rik,Lnx2,Tor3a
3,Itgb7,Gbf1,Rgl1
4,Mettl22,Gm10612,Gm216
5,Hdgf,Sytl1,Il10
6,Chi3l3,2410002O22Rik,Fcgr4
7,Apol7c,Gtse1,Efhc1
8,Il10rb,2700073G19Rik,Snord89
9,Gm16146,Tmprss13,Adamts4
10,Csn3,Asph,Shisa4
11,Timp1,Ighv1-19,D430040D24Rik
12,Wls,SNORA18,SNORD51
13,Mir99a,Gtpbp1,Dock10
14,Icmt,Uba1,Pyhin1
15,Gm10653,Rabl2,2900097C17Rik
16,Il23r,Trbv2,Phlda3
17,9930023K05Rik,Dhdds,Pask
18,Gm962,Ighv13-2,Gm14399
19,Ppm1h,Rnf208,Ptpn18
20,Cep63,Gm13389,Gm16026
21,Gm3252,Ndrg4,Cd84
22,Htt,Gm15556,A630001G21Rik
23,Gm9222,Ighj3,Haus2
24,Chchd2,Gm14012,Aldh3b2
25,Mipol1,Serp1,Gm7592
26,Tbc1d14,Fcnb,St8sia4
27,Ms4a6d,2310002L09Rik,Arhgef4
28,Wdr47,Cpe,Arpc5
29,Clec4d,Actr1a,Gm15789
30,Cdca2,Thap6,Fcer1g
31,Gm12905,5330437I02Rik,Gm17407
32,Copg2,Dennd2c,Fbxo15
33,Ly6c2,Btn2a2,Ikzf2
34,Fam26e,Crocc,Pde6c
35,Nom1,March4,Bend6
36,Srek1ip1,Gm15816,Mgat4a
37,Apbb1ip,Gm12972,Ppp1r12b
38,A730049H05Rik,Tnfsf13b,Gm15402
39,Psmd10,Arsi,Il1r2
40,Dcst1,Igkv3-4,Cir1
41,Tssk2,Cd79a,Fhl2
42,Cdc123,2410127L17Rik,1700013F07Rik
43,Cndp2,Trav15-2-dv6-2,Kif14
44,Ifi44,Slit2,Gm17427
45,Hectd2,Gm17652,Zfp647
46,Lias,RP24-484G16.9.1,Gm7855
47,C030044B11Rik,Igkv1-88,Cd55
48,Golm1,Usp29,AI607873
49,1700112E06Rik,Trav14-2,Ifi204
50,Pgbd5,4632428C04Rik,Lin9
51,Ear2,4930430F08Rik,Gm5287
52,Cct8,Eri1,Mfap2
53,Mical3,Nat1,1700056E22Rik
54,Pa2g4,Rab3il1,Gm15562
55,Lox,Pappa2,Scrt2
56,2010109K11Rik,Gapt,Pvrl4
57,Adap1,Gsn,Gm12364
58,0610037P05Rik,Spib,Arl4c
59,Tmem59l,4933424M12Rik,D1Ertd622e
60,Rsl1,Azin1,Gm16083
61,Plvap,Mir24-2,Kcnk4
62,Prex1,Gm13621,Col6a3
63,Gm17712,Zan,Vangl2
64,Rnf34,D2Ertd750e,Ccdc19
65,Ccdc109b,Siglecg,Zap70
66,Bmper,A130023I24Rik,Rps6-ps3
67,Trub1,A930003A15Rik,Pde6d
68,Tanc1,Cldn13,2310046O06Rik
69,Mdm2,Ampd2,Gm4204
70,Aox3l1,Gsk3b,Fam178b
71,Clip2,Gimap3,Neurl3
72,Nfkb2,Brix1,4931403G20Rik
73,Cst7,P2ry10,4933432B09Rik
74,Gsto1,Ighv5-17,Ugt1a7c
75,Arhgap20,Gm12180,Cd48
76,Ahrr,Ighv8-5,Dtl
