,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,0,0.9166666666666666,4971
1,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,1,0.8888888888888888,253
2,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,2,1.0,2208
3,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,3,0.9722222222222222,2288
4,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,4,1.0,1756
5,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,5,1.0,1640
6,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,6,0.9444444444444444,1033
7,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,7,1.0,603
8,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,8,1.0,1703
9,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,9,1.0,1412
10,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,10,0.9722222222222222,2384
11,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,11,0.8611111111111112,279
12,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,12,0.9722222222222222,1747
