,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,0,"      batch
Train   1.0",828
1,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,1,"      batch
Train   1.0",1885
2,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,2,"      batch
Train   1.0",476
3,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,3,"      batch
Train   1.0",793
4,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,4,"      batch
Train   1.0",1771
5,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,5,"      batch
Train   1.0",1394
6,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,6,"      batch
Train   1.0",492
7,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,7,"      batch
Train   1.0",2137
8,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,8,"      batch
Train   1.0",2396
9,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,9,"      batch
Train   1.0",889
10,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,10,"      batch
Train   1.0",2107
11,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,11,"      batch
Train   1.0",649
12,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,12,"      batch
Train   1.0",1483
13,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,13,"      batch
Train   1.0",541
14,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,14,"      batch
Train   1.0",301
15,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,15,"      batch
Train   1.0",1791
16,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,16,"      batch
Train   1.0",589
17,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,17,"      batch
Train   1.0",1993
18,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,18,"      batch
Train   1.0",1319
19,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,19,"      batch
Train   1.0",762
20,salmonella_Liver,WGCNA_LBG,eigengene,1,1,all,20,"      batch
Train   1.0",1736
21,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,0,"      batch
Train   1.0",657
22,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,1,"      batch
Train   1.0",684
23,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,2,"      batch
Train   1.0",1263
24,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,3,"      batch
Train   1.0",786
25,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,4,"      batch
Train   1.0",1363
26,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,5,"      batch
Train   1.0",1136
27,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,6,"      batch
Train   1.0",539
28,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,7,"      batch
Train   1.0",953
29,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,8,"      batch
Train   1.0",1135
30,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,9,"      batch
Train   1.0",825
31,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,10,"      batch
Train   1.0",1663
32,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,11,"      batch
Train   1.0",1331
33,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,12,"      batch
Train   1.0",1154
34,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,13,"      batch
Train   1.0",1455
35,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,14,"      batch
Train   1.0",1633
36,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,15,"      batch
Train   1.0",701
37,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,16,"      batch
Train   1.0",736
38,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,17,"      batch
Train   1.0",3294
39,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,18,"      batch
Train   1.0",641
40,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,19,"      batch
Train   1.0",719
41,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,20,"      batch
Train   1.0",2391
42,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,all,21,"      batch
Train   1.0",1273
43,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,0,"      batch
Train   1.0",687
44,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,1,"      batch
Train   1.0",589
45,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,2,"      batch
Train   1.0",4569
46,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,3,"      batch
Train   1.0",1486
47,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,4,"      batch
Train   1.0",603
48,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,5,"      batch
Train   1.0",1208
49,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,6,"      batch
Train   1.0",2035
50,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,7,"      batch
Train   1.0",1229
51,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,8,"      batch
Train   1.0",899
52,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,9,"      batch
Train   1.0",1170
53,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,10,"      batch
Train   1.0",593
54,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,11,"      batch
Train   1.0",836
55,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,12,"      batch
Train   1.0",794
56,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,13,"      batch
Train   1.0",621
57,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,14,"      batch
Train   1.0",1282
58,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,15,"      batch
Train   1.0",715
59,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,16,"      batch
Train   1.0",565
60,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,17,"      batch
Train   1.0",856
61,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,18,"      batch
Train   1.0",1215
62,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,19,"      batch
Train   1.0",2627
63,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,20,"      batch
Train   1.0",1221
64,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,all,21,"      batch
Train   1.0",532
65,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,0,"      batch
Train   1.0",2235
66,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,1,"      batch
Train   1.0",1579
67,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,2,"      batch
Train   1.0",630
68,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,3,"      batch
Train   1.0",1454
69,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,4,"      batch
Train   1.0",1891
70,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,5,"      batch
Train   1.0",1983
71,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,6,"      batch
Train   1.0",506
72,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,7,"      batch
Train   1.0",2541
73,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,8,"      batch
Train   1.0",2020
74,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,9,"      batch
Train   1.0",1646
75,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,10,"      batch
Train   1.0",1651
76,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,11,"      batch
Train   1.0",743
77,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,12,"      batch
Train   1.0",911
78,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,13,"      batch
Train   1.0",1253
79,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,14,"      batch
Train   1.0",773
80,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,15,"      batch
Train   1.0",702
81,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,16,"      batch
Train   1.0",688
82,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,17,"      batch
Train   1.0",694
83,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,18,"      batch
Train   1.0",658
84,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,19,"      batch
Train   1.0",592
85,salmonella_Liver,WGCNA_LBG,flag_median,1,8,all,20,"      batch
Train   1.0",1182
